#{"t_start": 1541345462.6049678, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,6.37374
2.0,206,10.954385
3.0,250,16.734085
0.0,123,19.346536
0.0,125,21.871903
0.0,127,24.685516
0.0,129,27.424216
2.0,199,31.928169
1.0,173,35.790978
1.0,153,39.301898
0.0,129,42.064809
0.0,129,44.808266
2.0,201,49.244254
1.0,153,52.708224
3.0,269,58.692653
0.0,127,61.362289
0.0,127,64.29161
0.0,129,67.133546
1.0,173,70.886151
0.0,127,73.552216
0.0,129,76.435737
0.0,129,79.151242
1.0,173,83.008015
0.0,125,85.624077
3.0,250,91.400065
1.0,173,95.186262
2.0,186,99.432715
2.0,222,104.348588
0.0,125,106.966049
6.0,365,115.393291
0.0,129,118.143972
2.0,219,123.259527
0.0,129,125.915917
0.0,129,128.543667
1.0,176,132.344726
3.0,251,138.294704
2.0,203,142.794626
0.0,127,145.442218
1.0,173,149.382855
1.0,155,152.72167
0.0,127,155.373827
4.0,298,162.189613
0.0,125,164.748757
4.0,281,171.251646
4.0,281,177.364323
0.0,125,179.935142
1.0,175,184.005535
10.0,394,192.742082
0.0,129,195.893126
0.0,127,198.60724
7.0,444,208.789826
1.0,175,212.602249
1.0,152,215.830649
0.0,127,218.742654
0.0,125,221.290138
1.0,174,225.152111
0.0,127,227.776881
0.0,129,230.805122
2.0,200,235.059696
0.0,127,237.716967
1.0,176,241.721558
2.0,204,246.543607
0.0,127,249.418405
0.0,129,252.133857
1.0,155,255.617695
4.0,278,261.982199
0.0,127,264.681942
6.0,416,274.133972
2.0,201,278.70911
4.0,304,285.677032
1.0,155,289.031825
0.0,127,291.974128
6.0,326,299.245088
0.0,127,301.910697
2.0,201,306.483695
0.0,129,309.235134
2.0,202,313.763492
0.0,129,316.76721
0.0,129,319.501066
0.0,129,322.303318
2.0,201,326.816409
0.0,127,329.783933
2.0,220,334.681044
1.0,175,338.540459
13.0,472,349.676349
3.0,220,354.59368
0.0,127,357.19336
2.0,199,361.595428
1.0,157,365.064907
0.0,129,367.757615
2.0,226,372.541055
1.0,173,376.622587
0.0,129,379.418193
0.0,125,381.97532
10.0,430,391.944433
0.0,127,394.443835
0.0,129,396.988942
0.0,129,399.67178
0.0,129,402.384039
2.0,224,407.327589
6.0,396,416.385927
0.0,127,419.026069
2.0,204,423.844626
0.0,125,426.515656
0.0,127,429.178344
0.0,129,431.741381
1.0,157,435.311109
0.0,129,438.062831
0.0,129,440.823087
0.0,127,443.490763
5.0,350,451.453064
1.0,177,455.424098
0.0,129,458.268405
1.0,155,461.452611
0.0,123,464.095359
0.0,127,466.80125
2.0,198,471.263032
0.0,127,473.808565
4.0,297,480.272738
5.0,350,487.984596
1.0,153,491.372558
4.0,299,498.238452
1.0,157,501.803342
2.0,202,506.605476
0.0,129,509.2943
11.0,485,520.301855
10.0,455,531.001832
6.0,378,539.225929
0.0,129,542.101382
9.0,404,550.87355
0.0,127,553.728656
0.0,127,556.263143
0.0,127,558.772647
2.0,200,562.788391
0.0,127,565.508394
4.0,299,571.989323
0.0,127,574.684506
0.0,127,577.547117
2.0,202,582.15348
9.0,425,591.499564
5.0,350,599.294465
0.0,129,601.962135
0.0,127,604.653822
0.0,127,607.344475
9.0,404,616.190716
0.0,127,618.869429
0.0,125,621.463303
0.0,125,624.120673
0.0,129,626.693676
0.0,129,629.351005
5.0,350,637.373226
4.0,297,643.93519
3.0,230,649.2545
