epoch_idx,frames,P01:episode_rewards,policy_entropy,PMM:episode_rewards,episode_length,advantage_norm,fps,value_loss,P09:episode_rewards,explained_variance,policy_loss,grad_norm
1,8000,0.0,1.3286375308036804,1.0930232558139534,171.41860465116278,1.3812834065034985,347,0.029214053372324997,2.8000000000000043,-2.7313991552591323,-8.220985357183963e-05,1.4174521584068793
2,16000,0.0,1.337205284833908,1.1170212765957446,168.54255319148936,1.1546713418513537,172,0.012779688427453948,3.0,-0.027348272800445557,0.0002645929984282702,0.24054533542022674
3,24000,0.0,1.3640157914161681,1.17,167.64,1.1014980405569077,206,0.012114084854929388,3.0,-0.05456325471401215,0.001350267470406834,0.23134475175730926
4,32000,0.0,1.3703142309188843,1.16,168.74,1.1774708596244454,233,0.013519442403739958,3.0,-0.07475557267665862,0.004089173958200263,0.22311939123397326
5,40000,0.0,1.378526906967163,1.25,174.93,1.2114490867778658,250,0.013172815155267017,3.0,-0.003841102719306946,0.0026282648375490682,0.2324367986956337
6,48000,0.0,1.3679758274555207,1.39,183.68,1.2649526016414165,264,0.013690308530494804,3.0,0.019978662729263307,0.0012025684211403132,0.22330983886184147
7,56000,0.0,1.363973560333252,1.3,179.52,1.2422264144569635,276,0.013639037122557056,3.0,0.03373224198818207,0.00026088944752700627,0.22913992049736462
8,64000,0.0,1.344597041606903,1.33,179.43,1.2370240768790246,285,0.014406575448520016,3.0,0.029442203640937806,0.0002693552226992324,0.3245040992578235
9,72000,0.0,1.374320696592331,1.28,178.17,1.2256874552369117,293,0.012526974942738888,3.0,0.21692136645317078,-0.0013013354727445404,0.2909214749598165
10,80000,0.0,1.3667742359638213,1.23,177.63,1.6188184762001037,300,0.025078814056760167,3.0,0.2971383512020111,0.006908511811343487,0.6629117932392744
11,88000,0.0,1.3622539961338043,1.27,178.7,1.2513068184256553,305,0.012107986908522434,3.0,0.4892585372924805,-0.0015872310117265441,0.32762620239072604
12,96000,0.0,1.3382581281661987,1.42,183.51,1.4893531784415246,310,0.01785016597015783,3.0,0.4763632082939148,-0.0029370087628194596,0.45039198770575245
13,104000,0.0,1.3595083045959473,1.43,183.1,1.3840677693486214,313,0.01379775759880431,3.0,0.5383856636285782,-0.004315499388612806,0.36774633658469386
14,112000,0.0,1.315493060350418,1.52,188.55,1.3810747557878493,317,0.013952339584939182,3.1000000000000085,0.5897967875003814,-0.0021174160670489072,0.358235591159757
15,120000,0.0,1.3150738167762757,1.5,188.71,1.2825952437520027,321,0.011846217217389494,4.0,0.8165940427780152,-0.006968469558341894,0.3779740293227832
16,128000,0.0,1.29813951253891,1.85,199.81,1.1827496591210365,324,0.009850752600468695,5.0,0.875925041437149,-0.003466404359205626,0.3413303890016994
17,136000,0.0,1.3050210916996001,1.89,198.98,0.9703829658031463,327,0.00676573412376456,5.0,0.9146317446231842,-0.0023517386397725205,0.2655681729346048
18,144000,0.0,1.3035485219955445,1.9,199.46,1.0078834298253059,329,0.009189046348910778,5.1000000000000085,0.8969734215736389,-0.001394753715067054,0.29098571187403344
19,152000,0.0,1.3208061158657074,2.03,207.11,0.9386675786972046,333,0.006426819514017552,5.0,0.9324335920810699,-0.00022958882531384005,0.24889974006430304
20,160000,0.0,1.3362298250198363,2.46,222.93,1.0531099224090577,339,0.008312758379615844,6.0,0.918279756307602,-0.0013979081241996026,0.2806370200089625
21,168000,0.0,1.3293546879291533,2.29,212.73,0.8654317131638527,345,0.005950192483724095,8.0,0.9181641173362732,-0.0017428502428811043,0.25558290828067515
22,176000,0.0,1.3554122865200042,2.02,199.0,0.9125959119200706,352,0.006369550917879678,8.0,0.9431643378734589,-0.0027645338316506242,0.2647183830838253
23,184000,0.0,1.3447283434867858,2.04,204.49,0.8908205610513688,359,0.005970553008955904,5.1000000000000085,0.9362676531076431,-0.0011609507129469422,0.2451040715964416
24,192000,0.0,1.3398333406448364,2.31,214.95,0.7229846784472466,366,0.003987813436542638,6.1000000000000085,0.9577221339941024,-0.0010655627771757282,0.19101489171977298
25,200000,0.0,1.3469693124294282,1.93,200.43,0.7167415496706963,373,0.004278545042325277,6.0,0.9244411319494248,-0.0003657678967283573,0.20207678497701131
26,208000,0.0,1.3487214815616608,1.51,185.48,0.5659057347476483,378,0.002501433854631614,5.0,0.9744333958625794,-0.000525444772283663,0.1581107262084484
27,216000,0.0,1.326025881767273,1.62,190.63,0.9235473769903183,385,0.013952739232918248,5.0,0.9140030628442765,0.0009377093691000482,0.4705784053592742
28,224000,0.0,1.3325607514381408,1.63,190.45,0.7074628858268261,391,0.003927489602647256,4.0,0.9571969109773636,-0.0021674831182463094,0.20169116998139724
29,232000,0.0,1.3260165131092072,1.5,187.86,0.41400431528687476,396,0.0012768415024038404,5.0,0.98784148812294,-0.0004959218026488088,0.10930289744580544
30,240000,0.0,1.3332663023471831,1.68,194.66,0.6629311195015908,403,0.0032691416796296834,5.0,0.9746258080005645,-0.0015019094408489763,0.17296150421570813
31,248000,0.0,1.3462766122817993,2.14,210.09,0.7458896803855896,403,0.0046555394449387675,5.0,0.9585250520706177,0.00025734363589435816,0.203085857280431
32,256000,0.0,1.3488078033924102,2.11,209.55,0.6632893715798854,407,0.0036000722250901164,5.1000000000000085,0.9674064576625824,-0.001173044635070255,0.18436033753993292
33,264000,0.0,1.3427516770362855,1.99,205.1,0.7111943656206131,411,0.003986602954973932,5.0,0.963998361825943,-0.0007495932112215087,0.18986360138106467
34,272000,0.0,1.352647577524185,1.99,204.5,0.8224585157632828,416,0.0055255403171759095,5.0,0.9423233485221862,0.0009785408462630585,0.21769113301566206
35,280000,0.0,1.3527666091918946,2.2,209.84,0.5317833399772645,421,0.0022426364998682402,6.1000000000000085,0.9758716154098511,-0.001394259585213149,0.12775881169496137
36,288000,0.0,1.3517106032371522,2.17,207.15,0.6598151421546936,426,0.003723733817168977,7.1000000000000085,0.9632827478647232,-0.00012702911952146677,0.1806695036429835
37,296000,0.0,1.3354344701766967,1.95,200.11,0.6349405319988728,430,0.0031506292906124146,6.1000000000000085,0.961802209019661,-0.0008960233553079888,0.16464648938428467
38,304000,0.0,1.336005651950836,1.8,197.19,0.6028996297717094,434,0.0030987917142920197,5.1000000000000085,0.9657465296983719,-0.0015043292634072713,0.15245426016804906
39,312000,0.0,1.3432319414615632,1.76,195.58,0.5833652020990848,438,0.0032021268660901115,5.1000000000000085,0.9700658202171326,0.00015022118372144178,0.15473723075034113
40,320000,0.0,1.3286402928829193,2.06,204.32,0.6703753998875618,441,0.003910914857697207,6.0,0.9625702685117722,-0.0015440188501088415,0.19030410909957843
41,328000,0.0,1.342903447151184,2.47,220.25,0.7002056467533112,445,0.003990924197714776,7.1000000000000085,0.9587756043672562,-0.0019208638041163795,0.1964598477265132
42,336000,0.0,1.3284092009067536,2.35,215.83,0.6945988896489144,447,0.003921578511653934,6.1000000000000085,0.9649073719978333,-0.0006867035757750273,0.1827540481319206
43,344000,0.0,1.3348961305618285,1.9,199.58,0.42234592825174333,450,0.0016366253624437376,5.0,0.9884247034788132,-0.0009561669500544667,0.12177289315877685
44,352000,0.0,1.3465261363983154,1.92,198.59,0.5850805146992206,453,0.002866846706456272,5.1000000000000085,0.9750081944465637,-0.0011423707311041652,0.15807524869499062
45,360000,0.0,1.3407791399955749,2.21,208.97,0.579697400778532,457,0.0027201908410643227,6.0,0.9743538248538971,-0.0005424287897767499,0.1529254987360457
46,368000,0.0,1.3471426129341126,2.5,219.34,0.6455795779824257,460,0.0036251413897844032,9.0,0.9188897830247879,-0.0008643279779789736,0.16924661178958278
47,376000,0.0,1.3502809822559356,2.6,220.03,0.7632332248985767,464,0.004717873715126188,9.0,0.9511804401874542,-0.0012459898374072508,0.20602713650378832
48,384000,0.0,1.351931895017624,2.06,201.05,0.5878785485029221,467,0.002864866332965903,7.200000000000017,0.9708831411600113,-0.0009205135548108955,0.1544452001323721
49,392000,0.0,1.3592546963691712,2.44,213.88,0.6366632397472859,470,0.0035926739814749454,9.0,0.9698816728591919,-0.00044718706340063363,0.16294071941492175
50,400000,0.0,1.371142464876175,2.2,205.84,0.9237686425447464,473,0.006581348661566153,7.1000000000000085,0.9033251833915711,0.00048228294792352245,0.2343781274087117
51,408000,0.0,1.370602445602417,2.03,202.73,0.8075368164479733,476,0.005881703391787596,5.0,0.95289690554142,-0.00045618196250870826,0.22482820546664609
52,416000,0.0,1.3676719546318055,2.12,210.86,1.1112098374962807,479,0.009261495433165692,5.0,0.8923778158426284,-0.0010768671048572286,0.2917429647008855
53,424000,0.0,1.3671088242530822,2.07,210.25,0.8601255978643895,481,0.005944110143464059,5.0,0.9329013568162918,-0.0019094665715601877,0.221613189795398
54,432000,0.0,1.3672819530963898,2.25,213.27,0.910927155315876,484,0.0061149231588933615,5.0,0.931488127708435,-0.0010073845528677339,0.2291336130320484
55,440000,0.0,1.3638402557373046,2.28,212.7,0.987495545744896,486,0.007560272039263509,6.0,0.925864832997322,-0.001365503976412583,0.2630966887264623
56,448000,0.0,1.351011310815811,2.4,218.92,1.049594408273697,489,0.012379512609331868,6.0,0.8291739892959594,-0.003826955278636888,0.3467724729351943
57,456000,0.0,1.3594362878799437,2.24,215.07,0.8392897748947143,492,0.005480920976842754,5.1000000000000085,0.9485529226064682,-0.0006209496862720699,0.2125846959869505
58,464000,0.0,1.3631347835063934,2.22,210.29,0.8938486199080944,494,0.006202961287053768,5.1000000000000085,0.9195698982477188,-0.0003927706662216224,0.22000562570978568
59,472000,0.0,1.3656978261470796,2.46,215.51,1.1049512481689454,497,0.009207306605530903,8.100000000000009,0.8858345609903335,-0.00031562796619255095,0.2930370103310524
60,480000,0.0,1.3636854517459869,2.33,212.54,1.026299668252468,499,0.007848041494144127,7.0,0.9115220922231674,-0.000709530309541151,0.26519054249884116
61,488000,0.0,1.3534236180782317,2.22,207.78,0.9420863261818886,501,0.0068606876762351025,5.1000000000000085,0.9346570181846618,-0.0019049002244719304,0.2825706576040267
62,496000,0.0,1.3509268963336944,2.14,205.47,0.6447074322402477,503,0.0033292633888777345,5.0,0.9737657457590103,-0.0008576681572594679,0.16808129931873192
63,504000,0.0,1.3439707338809967,2.22,211.15,0.7591988322138786,505,0.004400880794855766,5.0,0.9573867166042328,-0.0016198704409180209,0.21584438753612223
64,512000,0.0,1.3511770403385162,2.62,226.46,0.7871535886824131,507,0.005142250051430892,7.0,0.9572359555959702,-0.0015344898362673121,0.22534200036710228
65,520000,0.0,1.3538817942142487,3.05,241.1,0.8383224159479141,509,0.005454267392633483,9.0,0.9475615507364273,0.0010077438277949114,0.2070494978432038
66,528000,0.0,1.3526495599746704,3.05,239.38,0.9874198672175407,511,0.007351290220976807,9.0,0.9165598446130753,-0.002910059240384726,0.2572607717791989
67,536000,0.0,1.334138640165329,2.78,229.89,1.0682274535298348,513,0.008261093655601143,9.0,0.9016539269685745,-0.0016950773767894134,0.31208415543701007
68,544000,0.0,1.3427531361579894,2.62,223.61,1.231654494702816,515,0.010936564583098517,6.0,0.8615041726827621,-0.0017107221973128616,0.3194787297377295
69,552000,0.0,1.3529756355285645,2.63,220.51,1.0242948296666146,517,0.007737324649933725,6.200000000000017,0.9137216812372208,-0.0003725509194191545,0.2746468807167412
70,560000,0.0,1.3539507865905762,2.31,211.48,1.100777079463005,519,0.008933280904311686,5.1000000000000085,0.8641122174263001,-0.000916415667743422,0.2813096119025616
71,568000,0.0,1.3421132862567902,2.46,219.14,1.2600468379259109,520,0.011358330635121093,5.1000000000000085,0.8804201078414917,-0.0011145338899223134,0.35216645077554326
72,576000,0.0,1.345593936443329,2.57,225.05,0.9762251394987106,522,0.006715062137227505,6.0,0.9334119087457657,-0.0005386224412359297,0.24489363170025996
73,584000,0.0,1.346006028652191,3.02,240.95,1.1081612330675126,524,0.008983380940044298,6.0,0.9181136959791183,-0.0030103338367916876,0.29756051305929165
74,592000,0.0,1.3428687727451325,3.43,254.86,1.0794833558797836,526,0.008037013415014371,7.1000000000000085,0.9060204327106476,-0.0031186933699245854,0.2703600979772579
75,600000,0.0,1.3491342270374298,3.5,253.23,0.9549483329057693,527,0.006436664698412642,9.0,0.9196737152338028,0.00017124981350207235,0.24573178129638903
76,608000,0.0,1.3403800678253175,3.47,251.74,1.196375932097435,529,0.009985275759827345,9.0,0.9024301892518998,-0.0035751003678888083,0.30512833289360825
77,616000,0.0,1.327946593761444,3.15,240.79,1.1582823604345323,531,0.009420792903983965,9.0,0.9114334344863891,-0.002728121291147545,0.32226580929013304
78,624000,0.0,1.3353078556060791,3.34,248.86,1.0865967932343483,533,0.008374531293520704,8.100000000000009,0.9101708662509919,-0.0011478434523451142,0.2701640591120488
79,632000,0.0,1.318235501050949,3.44,252.69,1.29158722281456,535,0.0118111325672362,9.0,0.8729602366685867,-0.0017242712958250195,0.3361953156610187
80,640000,0.0,1.3146715140342713,3.0,234.04,1.1290399208664894,536,0.009354040516773238,8.0,0.8867196583747864,-0.0016688283148687333,0.3125135663488063
81,648000,0.0,1.3310875272750855,2.84,231.44,0.7929373440146447,538,0.004527726316009648,7.1000000000000085,0.9495065224170685,5.9322260203771296e-05,0.21584432401601694
