#{"t_start": 1546137679.9609861, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,170,87.435222
1.0,174,91.370834
3.0,249,145.657828
4.0,299,151.021585
0.0,129,154.06829
3.0,276,160.544829
0.0,127,163.342553
0.0,127,165.933228
0.0,127,169.257986
1.0,157,173.133962
1.0,157,178.54117
0.0,127,182.26244
0.0,129,185.649082
2.0,192,190.595785
0.0,125,193.529747
2.0,202,198.820001
1.0,151,202.950345
0.0,129,206.269293
2.0,186,211.243265
0.0,129,214.679635
0.0,129,217.726738
4.0,266,225.314252
2.0,190,230.331109
3.0,253,237.286084
1.0,157,241.447636
0.0,129,245.107809
2.0,229,251.335806
2.0,183,256.229899
1.0,155,260.391038
0.0,125,263.56935
1.0,174,268.230169
1.0,175,272.890313
0.0,129,276.207838
0.0,129,279.54316
0.0,129,282.914742
0.0,129,286.33446
2.0,220,292.586392
0.0,129,295.947499
5.0,328,304.923765
0.0,129,308.144467
0.0,129,311.346311
2.0,198,316.407507
0.0,127,319.634895
0.0,129,322.900241
1.0,171,327.284475
5.0,329,336.582206
4.0,297,344.941057
0.0,127,348.065763
0.0,129,351.954914
0.0,129,355.48301
3.0,270,362.662463
5.0,328,371.632024
0.0,127,375.062493
3.0,248,382.176931
5.0,350,391.702255
9.0,404,403.431957
0.0,125,406.637031
0.0,125,409.78557
0.0,129,413.379774
0.0,129,416.563879
0.0,129,419.624734
0.0,129,422.896096
0.0,129,426.394288
4.0,299,434.603454
2.0,220,440.431016
0.0,125,443.610061
4.0,299,451.853335
2.0,200,457.23142
0.0,127,460.43416
0.0,127,463.587073
0.0,129,466.933924
4.0,297,475.371286
0.0,127,478.779789
4.0,277,486.333699
2.0,198,492.085092
0.0,129,495.289199
0.0,129,498.45111
5.0,350,507.94481
2.0,202,513.264459
2.0,198,518.509359
9.0,404,528.394476
0.0,129,530.773549
0.0,127,533.370832
0.0,127,535.668927
0.0,127,537.770421
10.0,455,547.114367
0.0,129,549.617084
0.0,129,552.360827
0.0,129,555.020701
0.0,127,557.755077
2.0,198,561.417567
4.0,299,568.322133
0.0,127,570.821373
2.0,202,576.013457
2.0,198,580.609515
2.0,202,585.264804
2.0,198,590.657738
0.0,127,594.248512
0.0,127,597.546029
0.0,127,600.22425
0.0,125,603.284324
6.0,379,612.897118
0.0,125,616.195843
0.0,127,619.213794
0.0,127,622.072843
5.0,350,631.826719
3.0,248,638.299938
2.0,200,643.953264
1.0,155,647.77118
5.0,329,656.454845
0.0,127,659.98627
1.0,173,665.037505
2.0,204,671.094757
1.0,151,675.367276
4.0,321,693.126125
0.0,125,697.343678
0.0,127,702.196219
2.0,186,708.753428
0.0,127,712.595278
0.0,129,717.194374
4.0,257,725.428676
9.0,399,738.990012
3.0,246,749.419921
0.0,129,754.271344
9.0,404,771.312255
1.0,155,777.321105
5.0,350,799.88632
5.0,346,826.48206
7.0,449,851.754189
1.0,155,859.56055
3.0,246,872.193157
0.0,129,879.712438
0.0,129,885.867399
1.0,157,894.245202
5.0,330,912.095042
9.0,404,934.097519
1.0,172,943.413583
0.0,129,949.864641
1.0,172,958.48243
2.0,202,968.706817
8.0,372,989.340844
0.0,129,996.403702
0.0,127,1002.2633
2.0,202,1012.156785
5.0,350,1030.870623
0.0,129,1037.124069
4.0,297,1052.931608
3.0,251,1066.754112
2.0,188,1076.999283
1.0,157,1085.08494
4.0,316,1101.47263
0.0,127,1107.641869
1.0,174,1116.895143
10.0,432,1141.34011
0.0,127,1147.598781
5.0,352,1166.004695
1.0,155,1174.523066
11.0,455,1200.318426
0.0,129,1206.494212
0.0,127,1212.190888
0.0,129,1219.071532
0.0,129,1225.429257
10.0,432,1249.150184
0.0,129,1256.051898
0.0,129,1262.217386
1.0,175,1271.037939
13.0,545,1301.166284
1.0,157,1308.759232
4.0,262,1322.57414
1.0,153,1330.542176
3.0,235,1343.079072
0.0,129,1349.385889
6.0,400,1370.946393
1.0,176,1379.876082
9.0,404,1401.305766
1.0,157,1408.8069
3.0,228,1421.812198
10.0,454,1445.625621
0.0,129,1452.040637
6.0,379,1472.345591
3.0,273,1485.953738
0.0,127,1492.913138
0.0,129,1499.411589
1.0,173,1508.360347
1.0,172,1517.504995
1.0,173,1526.50183
2.0,202,1536.37862
1.0,174,1546.430481
3.0,270,1560.67265
5.0,352,1580.004828
0.0,125,1585.776972
0.0,125,1592.199117
2.0,202,1602.672987
0.0,125,1609.608349
2.0,200,1619.025251
1.0,173,1626.274711
3.0,232,1636.23832
0.0,129,1641.79072
4.0,299,1656.676267
2.0,182,1664.561329
3.0,248,1675.771826
0.0,129,1681.777277
10.0,432,1703.973408
2.0,202,1713.075374
2.0,202,1722.68525
1.0,176,1731.24208
5.0,309,1747.041912
2.0,185,1756.347515
1.0,174,1764.622208
3.0,230,1775.48712
10.0,445,1798.107507
2.0,185,1806.156869
1.0,155,1814.386459
3.0,255,1826.698647
6.0,398,1845.577796
2.0,202,1855.613579
10.0,433,1877.500001
2.0,204,1887.125014
2.0,202,1895.834788
4.0,264,1909.722734
11.0,482,1933.511477
5.0,333,1949.354731
5.0,350,1966.318083
5.0,350,1982.939299
6.0,368,2001.420582
8.0,460,2024.419337
0.0,129,2029.972254
6.0,375,2048.349815
9.0,403,2068.149576
13.0,530,2094.37431
5.0,353,2110.224453
4.0,319,2125.978145
5.0,309,2140.394337
