episode_length,P09:episode_rewards,value_loss,P01:episode_rewards,epoch_idx,policy_loss,explained_variance,frames,fps,grad_norm,policy_entropy,PMM:episode_rewards,advantage_norm
162.0,2.0,0.02136370073626722,0.0,1,-0.018630739687941968,-0.5841268938779831,8000,391,0.958490355399546,1.3566749769449233,0.8888888888888888,1.2933901267126202
168.45744680851064,2.700000000000003,0.013640559265004413,0.0,2,0.005253858402138576,-0.044809159636497495,16000,200,0.22758926757225675,1.372695462703705,1.053191489361702,1.1903018567711114
187.18,3.0,0.01718488993030405,0.0,3,0.0006229602551320567,-0.013599725961685181,24000,257,0.24107784792916584,1.3734891021251678,1.55,1.4242601568996907
184.74,3.1000000000000085,0.012518078416824209,0.0,4,0.0006627774122171104,-0.009721150398254394,32000,290,0.1980794243583536,1.3744287407398224,1.5,1.130842958651483
168.27,2.1000000000000085,0.01264439113676417,0.0,5,0.0016270670370431618,-0.00464506983757019,40000,321,0.19403500196021736,1.368087134361267,1.06,1.155665831565857
174.04,3.0,0.013410836788480082,0.0,6,9.675724621047266e-05,-0.0027812570333480835,48000,346,0.18054302692328278,1.3726483571529389,1.21,1.214188833385706
177.45,3.0,0.011087839180672745,0.0,7,0.0030130947870202363,0.0043446928262710575,56000,366,0.16782474623091925,1.3778817856311798,1.29,1.0335309616476298
179.92,3.0,0.01392369036454511,0.0,8,8.823714102618396e-05,0.01952406644821167,64000,382,0.19316959201045147,1.3777768039703369,1.33,1.277757996469736
180.35,3.0,0.013766662443813402,0.0,9,0.0014369205693947151,0.043758838176727294,72000,395,0.21981427752053329,1.3816212546825408,1.38,1.2297097389400005
174.47,2.1000000000000085,0.012203438745164021,0.0,10,0.0018091883993474767,0.03446526765823364,80000,406,0.19959678762746585,1.3808646702766418,1.28,1.1540127411484717
174.43,3.0,0.013117098510483628,0.0,11,0.0014459526846258086,0.13791070580482484,88000,416,0.25630719665683915,1.3766241776943207,1.3,1.2387579572200775
178.54,3.0,0.03005566495048697,0.0,12,0.008974814989196602,0.12620436906814575,96000,425,0.755387038154461,1.3637371790409087,1.37,1.4966905155777932
180.17,4.0,0.020925988125381993,0.0,13,-0.0015110544621711596,0.28722174823284147,104000,434,0.44831855343768273,1.3715143609046936,1.35,1.43444499745965
179.0,3.0,0.012312587310152594,0.0,14,-0.0043178104120306674,0.49986461639404295,112000,440,0.3414303621422243,1.3700205719470977,1.31,1.2385455553233624
190.05,4.0,0.017073776327888483,0.0,15,-0.003269530849502189,0.7104721546173096,120000,446,0.5030018903939442,1.3549574530124664,1.58,1.492497158050537
202.22,5.0,0.012703228788450361,0.0,16,-0.0037614084797678517,0.8018002289533616,128000,452,0.37156877976199726,1.3394564497470856,1.94,1.3269038337469101
200.92,5.0,0.015887875540647654,0.0,17,-0.0034801140367926565,0.7950882214307785,136000,457,0.42981438067273614,1.3348335707187653,2.01,1.1968273383378982
194.7,5.0,0.008894578636391088,0.0,18,-9.75134375039488e-06,0.8563204455375671,144000,460,0.301518497875603,1.3678670489788056,1.78,1.0940294450521468
177.93,4.0,0.006272022498305887,0.0,19,-0.0021572059598111083,0.9101730132102966,152000,464,0.29366863909201807,1.3358466410636902,1.31,0.9383748233318329
200.81,5.1000000000000085,0.012297868198947981,0.0,20,-0.0005216111039044335,0.8514078873395919,160000,468,0.3582367758278724,1.3348463797569274,1.95,1.2761867606639863
218.14,8.100000000000009,0.008258762417826802,0.0,21,-0.002600721653780056,0.9191697859764099,168000,471,0.2941824807582462,1.3349272656440734,2.41,1.0554450249671936
218.05,8.100000000000009,0.005034357548574917,0.0,22,-0.0003809007361451222,0.948242352604866,176000,474,0.21001695028710507,1.3331992089748383,2.43,0.8308800458908081
205.61,6.200000000000017,0.006879538981011137,0.0,23,-0.0014833222510060296,0.9419650429487229,184000,477,0.2898807727491543,1.313449103832245,2.13,0.986734884083271
210.26,6.0,0.005726791523629799,0.0,24,6.105014879722149e-05,0.9486989068984986,192000,478,0.22473711413685785,1.330756653547287,2.18,0.8493577180802823
206.66,5.0,0.0058989009592914955,0.0,25,-0.004486477247264702,0.9362735146284104,200000,480,0.2726768673059677,1.3223881614208222,2.01,0.806433881521225
199.57,5.0,0.003165865190094337,0.0,26,-0.00022735785707482138,0.9666712367534638,208000,482,0.15478874824368868,1.3265705215930939,1.83,0.6425170218944549
199.17,5.0,0.004445391900953837,0.0,27,-0.0009733967449210468,0.9457759320735931,216000,484,0.1817899561995734,1.350001232624054,1.93,0.7201655542850495
193.92,5.1000000000000085,0.006466103041311726,0.0,28,-0.0020014289527898656,0.8802061420679093,224000,490,0.23509703759345776,1.3741070997714997,1.84,0.9096199840307235
190.63,5.0,0.005445134195615538,0.0,29,-0.0011405964448931627,0.9353743261098861,232000,496,0.2176646053650467,1.349082865715027,1.74,0.8446078041195869
202.06,5.0,0.0032426728965947406,0.0,30,-0.0010361337539507077,0.9613207137584686,240000,502,0.16703599624931303,1.353015991449356,2.0,0.6515284809470177
196.67,5.0,0.004583233983721584,0.0,31,-0.0006777633192541543,0.9536876487731933,248000,506,0.1996410789580766,1.3542519736289977,1.79,0.7805736401677131
200.54,6.1000000000000085,0.005338956352206878,0.0,32,-0.00014443813339312328,0.9381753551959991,256000,509,0.21853928997998262,1.3555886352062225,1.96,0.8188636803627014
209.52,7.0,0.005998407356819371,0.0,33,0.00018785019718052355,0.9321700114011765,264000,512,0.20656601222812435,1.3663065350055694,2.16,0.8560730676352978
208.32,5.0,0.002625939372810535,0.0,34,-0.0016380974001367577,0.9761455732584,272000,513,0.1538020945065541,1.3510668098926544,2.04,0.5773455339670182
205.5,5.1000000000000085,0.004131432893918827,0.0,35,-0.0004926669328779099,0.9595098298788071,280000,516,0.17078815744513107,1.3461279678344726,2.06,0.7118048788607121
216.96,9.0,0.0035668072986300104,0.0,36,-0.0012025554140564054,0.969241613149643,288000,517,0.16512453407239838,1.3310648012161255,2.47,0.6301353779435158
211.62,9.0,0.006263535425969167,0.0,37,-0.0001630455547638121,0.9000994092226029,296000,518,0.22641843683345933,1.3633489215373993,2.33,0.8789018280804157
