epoch_idx,advantage_norm,PMM:episode_rewards,episode_length,policy_entropy,value_loss,policy_loss,P01:episode_rewards,explained_variance,frames,P09:episode_rewards,grad_norm,fps
1,2.7087130696326494,0.8333333333333334,155.95833333333334,1.3147925996780396,0.43251508886241935,0.013130176114646019,0.0,-2.0686442923545836,8000,2.0,6.605995750943112,297
2,1.145341520085931,0.9693877551020408,163.09183673469389,1.3567787754535674,0.012737125358326011,0.0021192045271163805,0.0,-0.06215199470520019,16000,2.0,0.27135170931116515,216
3,1.3601836548000574,1.42,181.56,1.3736309206485748,0.016505954915610344,0.0029073122597765176,0.0,-0.0555497407913208,24000,3.0,0.27991070362041987,233
4,1.2733166801184417,1.48,183.28,1.3654258096218108,0.013959279786795377,0.0013631149253342302,0.0,-0.004228448867797852,32000,3.0,0.28210348552818415,246
5,1.1811204743385315,1.16,171.58,1.3824759030342102,0.012392928720691998,0.0009213445789646357,0.0,0.037753750085830685,40000,3.0,0.24200070537677631,254
6,1.0768844196200371,1.17,174.47,1.3732107186317444,0.010948060789814917,-0.0005045398161746561,0.0,0.0359319543838501,48000,3.0,0.21773748288486694,257
7,1.4291468851268292,1.33,180.73,1.3751248025894165,0.016776741897774627,0.0025832332752179356,0.0,0.15589239776134492,56000,3.0,0.3467836741365891,262
8,1.1511141877621411,1.49,186.26,1.3787397122383118,0.012097419275523862,0.0027409549767617135,0.0,0.33642211854457854,64000,3.0,0.2852671685334224,265
9,1.370126777589321,1.49,184.4,1.3684368526935577,0.015315043378504924,0.0011296915920684114,0.0,0.34050485968589783,72000,4.0,0.3793575787448023,268
10,1.491147533506155,1.57,188.71,1.3682032644748687,0.0178467348558479,-0.0034729752806015313,0.0,0.37377024710178375,80000,4.0,0.42163404339120936,270
11,1.266144637465477,1.67,193.42,1.3796446132659912,0.012316170232952572,-0.0003013931919122115,0.0,0.5323780888319015,88000,4.0,0.33786852460499106,272
12,1.4375676336884498,1.48,187.73,1.3618787837028503,0.014949613456847146,-0.0038049138752103318,0.0,0.6423543506860733,96000,4.0,0.43882554620452063,273
13,1.2949715557694434,1.52,188.28,1.348330420255661,0.012051998134120367,-0.0060354237619321795,0.0,0.7879255712032318,104000,4.0,0.39425212277343136,274
14,1.3114894106984138,1.61,189.83,1.3454916489124298,0.012118976364145056,-0.001729827638482675,0.0,0.7828407210111618,112000,4.1000000000000085,0.39910864147551534,274
15,1.2542324694991112,1.76,196.67,1.352789169549942,0.01174693469889462,-0.0009125612489879132,0.0,0.8334400653839111,120000,5.0,0.4194949503379263,275
16,1.3947383695840836,1.94,204.4,1.3465913379192351,0.018656366503564642,-0.0073672049996093844,0.0,0.8609080594778061,128000,5.0,0.5459500546298497,277
17,1.0379648488759994,1.73,194.04,1.3473787784576416,0.007528660532552749,-5.0261151773156595e-05,0.0,0.8807433712482452,136000,5.0,0.3265034178596644,277
18,0.9641319626569748,1.62,188.67,1.3175823700428009,0.007033448745205533,-0.0007449494049069471,0.0,0.9011092841625213,144000,5.0,0.30448141455399036,277
19,1.0075794118642807,1.56,187.37,1.3179219579696655,0.0070232755434699356,-0.002161598812090233,0.0,0.9397736501693725,152000,5.0,0.3226365039644301,277
20,0.9541606846451759,1.92,200.35,1.343952043056488,0.006678930437192321,-0.0017796642389293993,0.0,0.9212456578016281,160000,5.200000000000017,0.2874707310681646,278
21,0.8767881432175636,1.96,199.59,1.3505638253688812,0.005855882618634496,-0.002767338466946967,0.0,0.9033376634120941,168000,5.0,0.26816357319746414,278
22,0.9665636676549911,2.18,208.13,1.3291481566429137,0.006884595663286745,-0.0012717787479596154,0.0,0.9135581016540527,176000,6.0,0.29290530399713044,278
23,0.8716373750567437,2.29,216.82,1.3416369009017943,0.00635292487218976,0.001213626641256269,0.0,0.9304266077280045,184000,6.0,0.23599007804279487,278
24,0.8676230299472809,2.12,208.5,1.3580493307113648,0.006234233721042984,-0.0008578675314493011,0.0,0.9446056717634201,192000,5.0,0.2763372413666883,278
25,1.021329635977745,2.03,203.04,1.346015431880951,0.0075851861335104334,-0.0016984337312169373,0.0,0.903800043463707,200000,6.0,0.2770759608838326,278
26,0.8129985547065735,2.03,205.06,1.344527426958084,0.005055080555030145,-0.001019193916945369,0.0,0.9527344542741776,208000,5.1000000000000085,0.24007055311346726,279
27,0.7382616478204728,1.8,196.58,1.3505179047584535,0.003970765608537477,-0.0002777356217848137,0.0,0.9567513662576675,216000,5.0,0.19450874997942016,279
28,0.710322153866291,1.79,195.6,1.3582845175266265,0.004140589360613376,-0.0010306408075848594,0.0,0.9431437546014786,224000,5.0,0.2061716707724864,280
29,0.7245794618129731,1.52,184.1,1.3457617413997651,0.003955619549669791,-0.0017142561457876581,0.0,0.9526456189155579,232000,5.0,0.20484828716387476,281
30,0.7103415468335151,1.59,189.72,1.3400708520412445,0.004089828519790899,0.00010920760571025311,0.0,0.9636248695850372,240000,5.0,0.2165642846669963,281
31,0.8994262757897377,2.04,204.28,1.3518728709220886,0.006158790965564549,-2.0115902298130095e-05,0.0,0.9157477325201034,248000,5.0,0.2526517349571877,283
32,0.7922660771012306,2.35,216.36,1.3430459320545196,0.004805119786178693,-0.0018289279151940717,0.0,0.9280942916870117,256000,5.0,0.21582805101622,284
33,0.7271542155742645,2.29,210.39,1.3540901601314546,0.004356471761129796,-0.00013559074788645374,0.0,0.9525757187604904,264000,6.1000000000000085,0.20219288024154128,285
34,0.7842415560781956,2.36,215.4,1.3448971688747406,0.005038198830152396,-0.0019642811961239205,0.0,0.9586913734674454,272000,6.1000000000000085,0.21718728824904615,286
35,0.8770856523513794,2.81,228.02,1.3546979546546936,0.005816436271416024,-0.00046531232306733727,0.0,0.9441088116168976,280000,9.0,0.2315233620511394,286
36,0.8089943215250969,2.55,219.99,1.3588411819934845,0.005261759545537643,-0.0005353449099948193,0.0,0.942434464097023,288000,9.0,0.22533888322743592,286
37,0.7586794799566269,2.12,204.72,1.364127675294876,0.004446867217484396,-0.0012352127011399717,0.0,0.9394832730293274,296000,5.0,0.2000080889504866,287
38,0.693417059481144,1.91,201.39,1.3413872027397156,0.0037042167448089456,-0.0004067987875896506,0.0,0.9674639832973481,304000,5.0,0.19328682844362138,288
39,0.7249801555275917,1.86,202.13,1.3634402585029601,0.004058352311258204,-0.0006428746684105136,0.0,0.9603809905052185,312000,5.0,0.19905877835685387,288
40,0.9776908093690873,2.27,214.94,1.3629822731018066,0.006975889435852878,-0.0007364123633124108,0.0,0.9309549796581268,320000,6.0,0.27084815223425157,288
41,1.1056434941291808,2.11,208.4,1.3529431664943694,0.008868182761943899,-0.0028098726435564457,0.0,0.8628854703903198,328000,5.1000000000000085,0.3232849931211075,289
42,0.9504358729720116,2.18,209.7,1.3426758909225465,0.006951112280366942,-0.0008197154763911385,0.0,0.9128131210803986,336000,5.0,0.2663897278872783,289
43,0.7830782306194305,2.08,204.98,1.3522600519657135,0.004644033961230889,-0.0017885442035913003,0.0,0.9445322120189666,344000,5.1000000000000085,0.2034221625139758,290
44,0.7694764126837254,2.14,207.5,1.345666890144348,0.00439775666774949,-7.534159230999648e-06,0.0,0.9568021029233933,352000,6.0,0.21327630297791367,291
45,0.8318706974387169,2.03,204.72,1.3554991829395293,0.0051953806151868774,-0.0020642281395703323,0.0,0.9517142856121064,360000,5.1000000000000085,0.22898587812929938,291
46,1.0066775324940682,2.08,207.54,1.3456257247924805,0.007697991791064851,-0.002390823833993636,0.0,0.8778150814771652,368000,5.0,0.28090689756107495,292
47,0.9684159961342812,2.54,221.16,1.3514621019363404,0.006680412106215954,-0.000530764865106903,0.0,0.9177296531200408,376000,6.1000000000000085,0.26392483879895956,293
48,1.1965213826298713,2.74,229.25,1.3629688382148744,0.010310491749551147,0.00014542967081069947,0.0,0.8851655453443528,384000,9.0,0.31290351363285995,293
49,1.3064115869998931,2.91,234.32,1.3551631247997284,0.011686609550379217,-0.0025372060114750637,0.0,0.856048377752304,392000,8.0,0.35969070155717664,294
50,0.9613571721315384,2.54,223.43,1.3518807125091552,0.006575283637503162,-0.0019352873381285462,0.0,0.9270559006929397,400000,6.1000000000000085,0.2529946958705299,294
51,0.9200690793991089,2.13,207.7,1.349600293636322,0.0064162885246332735,4.7127046273089945e-05,0.0,0.934925582408905,408000,5.0,0.2522597203713373,295
