#{"t_start": 1546138368.0460484, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,198,93.180054
1.0,178,104.806362
0.0,129,113.701763
4.0,279,138.682682
1.0,177,148.672014
2.0,220,160.331312
0.0,129,166.601616
0.0,127,172.416858
3.0,270,186.050622
4.0,302,202.838221
1.0,169,211.206408
2.0,200,221.612756
0.0,125,227.862199
0.0,129,233.546402
0.0,129,239.58476
2.0,220,250.883587
4.0,278,264.302978
1.0,170,272.478322
2.0,200,281.960097
2.0,198,291.863831
3.0,217,302.911967
3.0,230,315.453573
3.0,268,328.618544
0.0,127,335.013491
4.0,319,351.19487
3.0,230,362.289633
0.0,125,368.715229
0.0,125,374.4765
5.0,326,391.050054
5.0,352,409.204204
5.0,329,426.846689
1.0,169,434.908911
2.0,183,443.154935
1.0,157,450.451651
2.0,202,460.878776
4.0,318,476.503437
3.0,248,489.144786
0.0,125,495.445615
0.0,129,501.946913
0.0,127,508.135316
4.0,299,523.580095
4.0,299,540.115807
0.0,123,546.224823
0.0,127,552.545553
3.0,248,564.726745
5.0,350,583.435107
5.0,350,601.414445
0.0,129,607.885903
0.0,127,614.134696
2.0,202,624.072797
0.0,127,630.269843
2.0,202,640.487362
3.0,246,652.874144
14.0,610,685.153637
11.0,447,709.147801
4.0,299,724.586498
0.0,125,730.337115
2.0,202,740.343913
2.0,202,751.400494
0.0,127,757.784432
2.0,198,766.926481
0.0,127,773.176328
4.0,299,789.103566
0.0,129,795.569983
2.0,198,804.989935
2.0,202,815.787843
1.0,174,824.288437
2.0,202,834.513023
0.0,129,841.275437
0.0,125,846.728209
1.0,173,854.688377
9.0,404,875.123266
3.0,270,888.939991
0.0,127,894.801974
5.0,372,913.070714
0.0,127,918.811376
0.0,129,925.03104
0.0,127,931.155402
2.0,202,940.123498
0.0,125,945.318945
5.0,347,961.098552
0.0,129,966.206495
0.0,125,971.370194
2.0,202,980.507351
0.0,129,985.925812
10.0,451,1007.043826
3.0,248,1019.552099
1.0,174,1026.93875
