#{"t_start": 1544715602.4449313, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,39.859383
1.0,175,44.711408
0.0,125,48.380009
3.0,255,75.240387
3.0,214,82.009973
2.0,226,88.605658
1.0,171,93.940787
1.0,157,98.58639
0.0,127,102.369919
1.0,157,107.474854
0.0,127,111.569994
0.0,127,115.212668
2.0,204,121.491104
1.0,157,126.400807
0.0,127,130.018518
1.0,157,134.68783
0.0,129,138.391476
2.0,201,144.970702
0.0,127,148.752554
1.0,157,153.692549
0.0,123,157.493065
0.0,127,161.519061
1.0,155,166.301562
0.0,127,170.318038
0.0,127,174.408177
2.0,184,180.515383
1.0,173,186.220456
2.0,206,192.650017
0.0,129,196.740997
1.0,173,202.194419
