frames,explained_variance,value_loss,policy_loss,advantage_norm,episode_length,fps,P01:episode_rewards,PMM:episode_rewards,grad_norm,policy_entropy,P09:episode_rewards,epoch_idx
8000,-3.4419828766584395,1.9100141049886725,-0.15591326119509177,5.501955702546984,164.41304347826087,533,0.0,0.9782608695652174,43.44135490113935,1.3345425333594902,2.5,1
16000,-3.754152317047119,0.006468444181928134,0.0008340443716588198,0.7688126361370087,170.2087912087912,324,0.0,1.1428571428571428,0.11093612872357911,1.3806501495838166,3.0,2
24000,-1.7976322549581527,0.005382158320204553,-0.001300804206985049,0.7071056585013866,181.57,365,0.0,1.43,0.08038006521816511,1.3845739948749543,3.0,3
32000,-3.4797065234184266,0.00589711904100227,0.00027940460771787914,0.7754178746929392,190.16,385,0.0,1.62,0.07666302103045478,1.385005054473877,3.0,4
40000,-2.831988048553467,0.005526435967217367,0.0005557155113638146,0.7033763782307506,179.85,400,0.0,1.34,0.08021725544474671,1.3848100697994232,3.0,5
48000,-3.902731693983078,0.006539429487647794,0.003527170951019798,0.7767005665786564,181.89,410,0.0,1.4,0.12675207396565916,1.3845508015155792,3.1000000000000085,6
56000,-2.0506201976537706,0.0061114639005245405,0.0003452765161637217,0.7495041803643108,185.21,416,0.0,1.5,0.08134546666469043,1.3847984969615936,4.0,7
64000,-1.3044720578193665,0.006427888241933033,-0.00023713326663710177,0.7758462672308087,196.86,418,0.0,1.73,0.08807727407571049,1.3844068789482116,4.0,8
72000,-3.9963686752319334,0.004118428162892087,3.1603644501956296e-05,0.5462777191214263,183.08,423,0.0,1.42,0.06276151436334045,1.384875328540802,4.0,9
80000,-1.4955464965105056,0.0056448464238019365,0.0009557712316745892,0.7154745160602033,173.17,426,0.0,1.18,0.06730073286588852,1.3842818975448608,3.0,10
88000,-1.4691138303279876,0.005526471656648937,0.000280881057260558,0.6944725852459669,175.51,427,0.0,1.23,0.07058691648955852,1.3852108919620514,3.0,11
96000,-1.2535092586278915,0.005559161277687963,-0.0017830186481296551,0.7205503841117025,172.85,429,0.0,1.19,0.08831237434613542,1.3845602595806121,3.0,12
104000,-1.2720362436771393,0.005669892417949995,-1.6787370550446213e-05,0.7221601349301636,177.89,432,0.0,1.31,0.0716669298962121,1.3847077238559722,3.0,13
112000,-1.2800000983476638,0.005758330864000527,-2.4056421825662255e-05,0.7477363170683384,183.88,432,0.0,1.45,0.067659974854874,1.3847429311275483,3.0,14
120000,-1.6069177335500717,0.005240912036542795,6.141289983133901e-05,0.6740348858013749,181.13,434,0.0,1.35,0.0634467590488663,1.3835252451896667,3.0,15
128000,-1.6122240209579468,0.005073895278064811,-0.0003123108885483816,0.6632177143543959,177.0,435,0.0,1.25,0.06576544780079537,1.3850296688079835,3.0,16
136000,-2.2879385215044024,0.004838017180063616,0.0003616476349998265,0.6480155947431921,175.15,436,0.0,1.18,0.0626768333635724,1.3854169249534607,3.0,17
144000,-1.836963445544243,0.0059935120265072325,-9.508965362329036e-05,0.7380113210529089,174.55,437,0.0,1.16,0.07533873225775782,1.3851462399959564,3.0,18
152000,-1.9441420596837997,0.005582226466067368,0.0003528961945266928,0.7342837657034397,183.89,438,0.0,1.41,0.07938180075622585,1.3854453623294831,3.0,19
160000,-1.5692159801721572,0.005855773561579554,0.0005920763398171402,0.7467772668227554,186.16,439,0.0,1.57,0.08648825603069961,1.3849011361598969,4.0,20
168000,-1.893211207985878,0.005215686843957883,-0.0011241040503955446,0.7301993615180254,185.85,439,0.0,1.54,0.07303331780693507,1.383398334980011,4.0,21
176000,-1.293880370259285,0.005614253205094428,0.0007547504469403066,0.7680476217716933,176.88,439,0.0,1.22,0.0809225998506996,1.3830716931819915,3.1000000000000085,22
184000,-2.109510546922684,0.0056938291648839364,-0.0007934643363114446,0.7357249584794044,188.38,440,0.0,1.53,0.08457352498178639,1.3836103522777556,4.0,23
192000,-1.9786043000221252,0.005752224231655418,0.0006678204973286484,0.723294353634119,191.49,441,0.0,1.66,0.08911998543974513,1.382961301803589,3.0,24
200000,-1.6285078942775726,0.005231249302851211,-0.00015374277136288584,0.7307824500650167,184.69,441,0.0,1.46,0.11341847222741096,1.3815056133270263,3.0,25
208000,-1.707100606560707,0.005923405098219519,-0.0021494242502376436,0.796896755695343,185.56,442,0.0,1.47,0.17026202779847338,1.3783186984062195,4.0,26
216000,-2.3209563308954237,0.0037615052762339472,0.0002853080950444564,0.6096152289956808,181.89,442,0.0,1.32,0.0995015353189772,1.3804230415821075,4.0,27
224000,-2.5008161848783494,0.004323567211140471,4.503703166847117e-05,0.6463088265806437,175.85,443,0.0,1.2,0.10721628785220716,1.3814195895195007,3.1000000000000085,28
232000,-2.6548255026340484,0.0043684883441164855,0.0002711516837007366,0.7050458763539791,179.84,444,0.0,1.37,0.10681019324526693,1.3826134538650512,3.1000000000000085,29
240000,-2.8194305723905564,0.003448565909166064,0.000334852066575877,0.5897903925925493,183.06,444,0.0,1.46,0.11398771160398478,1.3841999876499176,3.0,30
248000,-2.7770343792438505,0.003615499059524154,3.985708826803602e-05,0.6093005868792534,187.96,444,0.0,1.51,0.10652217075143783,1.383691236972809,3.0,31
256000,-3.0201934248209,0.004133683846666827,-0.0014725928306870628,0.6523627706617117,183.99,444,0.0,1.4,0.11195824413343121,1.3826224219799041,3.0,32
264000,-3.909374315738678,0.004285777458535449,-5.040209507569671e-06,0.6930760984122754,196.36,445,0.0,1.69,0.12374308548478627,1.3771271634101867,4.0,33
272000,-2.837219242453575,0.0030811514362721936,-0.00018420856722514145,0.5633722284436226,201.92,446,0.0,1.8,0.08491415039743731,1.3766953933238983,5.0,34
280000,-4.283510625362396,0.005652529607959878,-0.007321671446698019,0.6599206546694041,187.52,448,0.0,1.46,0.30335258198630655,1.3779090917110444,4.0,35
288000,-4.095472521185875,0.0031677291559026343,0.0007200938482856145,0.5852633993327617,182.49,449,0.0,1.43,0.09882082328199548,1.3826630651950835,4.0,36
296000,-8.033257521390915,0.0032051633153969304,3.177305916324258e-05,0.6003825890272856,186.47,450,0.0,1.52,0.09177373451229873,1.381148408651352,4.0,37
304000,-2.7998507791757583,0.0029435118402398076,7.725243056484033e-05,0.5710422532260417,186.48,452,0.0,1.53,0.09205369890928093,1.381966211795807,4.0,38
312000,-1.9359510713815689,0.002704871227742842,-2.9419500551739476e-05,0.5311165150254965,185.15,453,0.0,1.5,0.08915705490116321,1.3838019347190857,4.0,39
320000,-5.732950996160508,0.0022389304292937595,0.0007312607511994429,0.4910311106219888,179.26,454,0.0,1.33,0.08083268098489253,1.3809527146816254,3.1000000000000085,40
328000,-3.345911675095558,0.002241756043258647,-0.0006288909043360035,0.47052992224693296,174.5,455,0.0,1.15,0.07636480709663476,1.3828287303447724,4.0,41
336000,-3.4637430197000505,0.0024838897443441965,0.00016336506334482692,0.49842576555907725,178.04,456,0.0,1.3,0.09224971499016534,1.3832896780967712,3.0,42
