epoch_idx,value_loss,P01:episode_rewards,advantage_norm,frames,episode_length,policy_loss,policy_entropy,fps,grad_norm,P09:episode_rewards,PMM:episode_rewards,explained_variance
1,1.5142258635624921,0.0,5.199866524785757,8000,171.74358974358975,-0.007320250255579594,1.3479555141925812,519,35.79841215453932,3.0,1.0512820512820513,-1.4615348291397094
2,0.005294752104690588,0.0,0.6633511466905475,16000,179.0568181818182,-0.0004221904812948196,1.385441497564316,328,0.1217975851696273,3.0,1.2613636363636365,-11.690718673467636
3,0.006373202350800966,0.0,0.8072206380218268,24000,184.26,0.00045614685559485223,1.3858210122585297,378,0.12907754648603206,4.0,1.43,-2.586347175836563
4,0.0060506089906675695,0.0,0.7731818956509232,32000,186.61,0.00044756370218237865,1.3850623774528503,407,0.1224387673584913,4.0,1.45,-7.097682368755341
5,0.006722126508025212,0.0,0.7947836096398533,40000,183.73,-0.0003088099014985346,1.3845278990268708,428,0.14049684433785103,4.0,1.38,-2.2328403925895692
6,0.004996816410389329,0.0,0.6332251921482385,48000,185.0,-0.0001573730995733058,1.3853427505493163,439,0.09002228345993497,4.0,1.47,-6.172730036973953
7,0.00640526518556726,0.0,0.7748777948878706,56000,183.49,0.0007402456232375698,1.385745587348938,451,0.1066892282450837,4.0,1.41,-2.5816318410634995
8,0.0057145821816106945,0.0,0.714725943878293,64000,185.9,-0.0005428532618680038,1.385370762348175,449,0.08910157810387977,4.0,1.43,-2.092587147951126
9,0.005351637782287071,0.0,0.7021649253740907,72000,179.18,0.0008309770072810351,1.383528356552124,448,0.1187827228276117,3.0,1.33,-2.722282995581627
10,0.004943259559831858,0.0,0.6590443160943686,80000,168.22,-3.844400227535516e-05,1.3826748883724214,447,0.08346185666522325,3.0,1.07,-3.035624467134476
11,0.005553549399596704,0.0,0.7239601974003017,88000,176.53,2.660307218320668e-06,1.3851713454723358,442,0.09013821797750814,3.0,1.24,-2.114764716029167
12,0.006056838494650947,0.0,0.7645437791384757,96000,185.45,0.0001379454198468011,1.385028510093689,439,0.09257447757373732,4.0,1.44,-1.7908338570594788
13,0.005196352442435454,0.0,0.6843676742911339,104000,179.22,-0.00014987266680691392,1.3840396308898926,438,0.07937856053225119,3.1000000000000085,1.3,-1.3700195068120957
14,0.005276770413415761,0.0,0.6883171749860049,112000,179.51,0.0001388066532672383,1.3836756587028503,438,0.08912329539499003,4.0,1.29,-2.5231822776794433
15,0.00597109595438269,0.0,0.7569532816112041,120000,183.93,0.0002681511887931265,1.3837293529510497,437,0.09552600341951945,4.0,1.41,-2.0502337926626204
16,0.006388447301042106,0.0,0.7603482076525688,128000,187.0,-0.0010676236293511465,1.3823707568645478,438,0.10659863274321561,4.1000000000000085,1.52,-1.7232452917099
17,0.004482572386878019,0.0,0.6327610789984465,136000,179.23,0.00012359761160041672,1.3836523187160492,438,0.07597092860497023,3.1000000000000085,1.34,-2.106390352845192
18,0.005410588110826211,0.0,0.6924168702587485,144000,169.26,0.001134979906710214,1.3839224696159362,437,0.09848720373001195,3.0,1.08,-1.8049151360988618
19,0.005685557866818272,0.0,0.7739503593370318,152000,180.03,-0.0011178353959985542,1.3824229621887207,438,0.08975426973067424,3.0,1.38,-1.3198887485265731
20,0.004428068393335707,0.0,0.5899259398505091,160000,174.78,0.00025882983233714183,1.3842254173755646,437,0.07733201797382286,3.1000000000000085,1.23,-2.7794435703754425
21,0.005109440458654717,0.0,0.6641232045739889,168000,171.19,-0.00039895158231956885,1.3845729517936707,437,0.07616348798121528,4.0,1.09,-2.1863183963298796
22,0.005311305755076319,0.0,0.7073697553575039,176000,180.28,0.0006650923375127604,1.3836020720005036,437,0.08826276187946933,4.0,1.31,-1.6966025924682617
23,0.005390578746337269,0.0,0.72061667278409,184000,188.29,0.00035474719130434095,1.3828807544708253,438,0.09790993480917046,4.0,1.51,-2.2000384765863417
24,0.005159439140734321,0.0,0.7403093495219946,192000,185.91,7.79047716059722e-05,1.3833399176597596,438,0.10552309545591228,4.0,1.43,-1.7225449550151826
25,0.004531737118813908,0.0,0.6911008260399103,200000,183.2,-0.000798147284094739,1.3819615375995635,438,0.11507153837685123,4.0,1.38,-2.1007956206798553
26,0.004864282369817374,0.0,0.7235011433064937,208000,183.5,0.0006333390189683996,1.3790115439891815,437,0.12506858116620964,4.0,1.45,-1.6838022631406784
