epoch_idx,policy_loss,frames,grad_norm,policy_entropy,P09:episode_rewards,explained_variance,advantage_norm,value_loss,PMM:episode_rewards,P01:episode_rewards,episode_length,fps
1,0.027574335991957924,8000,31.490581813721434,1.326432429254055,2.700000000000003,-2.5795433324575425,5.032658234983683,1.2414492111812523,1.0909090909090908,0.0,169.5681818181818,581
2,0.00015371668290754315,16000,0.12178921148209149,1.3784848129749299,2.799999999999997,-5.511255434751511,0.7038969282060862,0.005592018122870286,1.1505376344086022,0.0,172.10752688172042,384
3,-0.0005129592998127919,24000,0.11674759523536819,1.382616889476776,3.0,-8.473082996010781,0.7293110520672053,0.005826302062491209,1.34,0.0,178.59,466
4,0.0008326690660760505,32000,0.1045813096451812,1.3849152219295502,3.0,-12.710706855654717,0.6985148318298161,0.005269544926906064,1.24,0.0,174.6,525
5,-0.0005232332223749836,40000,0.09963239433471148,1.38380246758461,3.0,-7.473791344165802,0.6256393901817501,0.004821988623583593,1.09,0.0,169.86,565
6,0.0005555001638458634,48000,0.0951828327454616,1.3852709317207337,3.0,-7.026450847387314,0.6182965596113355,0.004781062577605439,1.07,0.0,169.95,601
7,-0.001022879410393216,56000,0.11483772672218936,1.384264806509018,3.0,-5.417778263688088,0.7084366889111697,0.00568201404073875,1.09,0.0,170.67,624
8,-5.38807217253634e-05,64000,0.08554996412350142,1.3836343395709991,3.0,-2.4108287078142165,0.6814499654434621,0.00529711308735159,1.19,0.0,174.04,645
9,-0.00015267332055373116,72000,0.1023847854572543,1.3834093189239502,4.0,-1.3615294414758683,0.8237384082376957,0.006439177613910943,1.54,0.0,187.55,662
10,0.00038233785151533086,80000,0.08602513939983561,1.3833376550674439,4.0,-2.7836832356452943,0.6208534268662333,0.004949798512202505,1.49,0.0,185.38,678
11,-3.2292225514538584e-05,88000,0.08837670393842526,1.38475945353508,3.1000000000000085,-2.9837702292203905,0.6662843349389732,0.005189713271493019,1.26,0.0,177.11,695
12,-2.5683165367809125e-05,96000,0.10028664207881649,1.3848989140987396,4.0,-1.9749779617786407,0.7829377599433065,0.005983279701986248,1.55,0.0,190.47,709
13,0.00028958945003978445,104000,0.11574873846514594,1.384946174621582,4.0,-1.9678923016786576,0.7494720767065882,0.005514092965258896,1.59,0.0,191.17,723
14,0.0053950743653695095,112000,0.24322576218265948,1.3832168173789978,3.0,-3.6080432349443434,0.6846605806425213,0.005984441779164626,1.33,0.0,180.81,736
15,-0.0039010682104708393,120000,0.2040217671454672,1.3835484337806703,3.0,-2.0398260772228243,0.6798480136692524,0.004554427087305158,1.25,0.0,177.84,744
16,0.012731800913170445,128000,3.167465281707002,1.369965134859085,3.0,-7.420015366077423,1.1676117722690105,0.10715957311349485,1.25,0.0,177.64,752
