fps,episode_length,value_loss,epoch_idx,grad_norm,policy_loss,frames,advantage_norm,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,policy_entropy,explained_variance
513,174.1904761904762,1.7912840654686262,1,47.0859049353271,0.2103580076365506,8000,6.029108222201467,1.1428571428571428,0.0,2.8999999999999986,1.3412425065040587,-3.8113355332612993
308,171.91304347826087,0.005379526823433025,2,0.11519444439673446,0.0002513614660119856,16000,0.7021404224075377,1.1304347826086956,0.0,2.9000000000000057,1.3759352850914002,-4.083904673457146
350,174.42,0.005894444631712759,3,0.10307211472432255,-0.0004520335327833891,24000,0.725698459725827,1.16,0.0,3.0,1.3751168859004974,-3.2942964059114455
377,182.98,0.005324632950471368,4,0.08518048332983083,-0.00043475018203025683,32000,0.6815120921097696,1.41,0.0,3.1000000000000085,1.379440861940384,-2.8464164865016937
395,180.53,0.005413669157683217,5,0.07527219142056307,0.0005475787120667519,40000,0.7078378956019878,1.39,0.0,3.1000000000000085,1.383285847902298,-2.4493343096971514
409,187.0,0.006428057501525472,6,0.09157608150074192,0.0005517088959459215,48000,0.7977778701856733,1.58,0.0,3.1000000000000085,1.3848875069618225,-0.9517875909805298
418,198.6,0.0057324128206983,7,0.08021373048822485,-0.000753620307368692,56000,0.7365548005327582,1.81,0.0,4.0,1.3850125575065613,-3.5959394681453705
423,195.12,0.006482483044489982,8,0.08188292087949738,0.00014239844764233568,64000,0.8065741799771786,1.65,0.0,5.0,1.3794850897789002,-2.1535218292474747
429,196.26,0.0062491204750222094,9,0.08025348195381346,-0.0005234624435252044,72000,0.7598322772234678,1.7,0.0,4.0,1.3804253578186034,-1.8858059465885162
434,196.56,0.005553690180631747,10,0.06334609029269264,0.0002880628802085994,80000,0.7402962422370911,1.75,0.0,5.0,1.3841789519786836,-1.7196111536026002
435,188.37,0.006729299043799983,11,0.11808912862490241,0.003155118172217044,88000,0.8219720844179392,1.61,0.0,4.0,1.3846358048915863,-0.6161671662330628
439,180.68,0.005780570089646062,12,0.06196191319154047,-0.0005394839876680635,96000,0.7613930355012417,1.37,0.0,3.0,1.383702713251114,-0.48956526339054107
442,187.64,0.005895751734224177,13,0.06717296514959369,0.0001977999322116375,104000,0.7682982892543078,1.49,0.0,3.1000000000000085,1.384186372756958,-0.7938935828208923
444,189.11,0.006162189132692219,14,0.07196456951422603,9.998168483434711e-05,112000,0.7592315889149904,1.49,0.0,3.1000000000000085,1.3804395914077758,-1.3479721182584763
445,189.25,0.006089426404532788,15,0.082480136638089,-0.00014874076499836518,120000,0.77045429546386,1.48,0.0,4.0,1.3844447350502014,-1.0533155518770219
446,185.27,0.004678046841827381,16,0.07165196009847112,-8.089072834991385e-06,128000,0.6242469701170922,1.5,0.0,4.0,1.3852571272850036,-2.7242810982465744
448,177.33,0.0053553631836712155,17,0.09161610830463707,0.0009900172246125295,136000,0.7142729794420302,1.32,0.0,3.0,1.385585960149765,-2.873737878203392
449,174.38,0.004955669195583141,18,0.0707880661247029,-0.00044768373685656116,144000,0.6687620466575026,1.15,0.0,3.0,1.3824710643291473,-1.4424524891376496
449,176.47,0.00564815058819022,19,0.06987783529205366,-0.0005545875080861151,152000,0.7224364653602242,1.2,0.0,3.0,1.3818380045890808,-0.9750869584083557
450,184.19,0.006302998885312263,20,0.07925485940666782,-0.00032283112057484686,160000,0.8292345746979117,1.48,0.0,3.0,1.3846972489356995,-0.7612876397371292
451,183.7,0.00589775143550014,21,0.08099191547240664,0.00039128112419348324,168000,0.7248959877341986,1.48,0.0,3.1000000000000085,1.38577183842659,-1.733239358663559
452,190.84,0.0059608101263893334,22,0.06888679507577838,-0.001184850624485989,176000,0.771951861269772,1.57,0.0,3.0,1.3836026895046234,-1.547896727323532
452,186.7,0.0052645937237957696,23,0.07829895287774286,0.0008816137310350314,184000,0.6913940105959773,1.44,0.0,3.1000000000000085,1.3832318472862244,-1.6861663573980332
453,179.57,0.0060002240791618535,24,0.08753951433017262,-0.0005681006188387982,192000,0.772155861929059,1.32,0.0,3.1000000000000085,1.3814828503131866,-1.5292540448904037
454,187.72,0.005585848329565124,25,0.08522242531638088,0.00037091053072799693,200000,0.750977939851582,1.53,0.0,4.0,1.3805674993991852,-2.0109563368558883
455,186.27,0.004626085935742594,26,0.08074991461757566,-0.00014804974451180898,208000,0.6429835022985935,1.48,0.0,3.1000000000000085,1.3771228778362274,-1.921152237057686
455,187.8,0.005598441037582233,27,0.10634914941154933,0.0006930428213672712,216000,0.7543794382363558,1.56,0.0,4.1000000000000085,1.3814213466644287,-3.0821296244859697
455,193.81,0.0051898564423026984,28,0.13686812520584415,-0.0005955961547442712,224000,0.7240071349591016,1.71,0.0,5.0,1.3836717820167541,-5.267596088051796
456,197.18,0.004416546403044777,29,0.11017572460719213,0.00037889658473432063,232000,0.6574139989167452,1.74,0.0,4.0,1.3843152821063995,-1.9446739375591278
456,185.07,0.004710703205082609,30,0.14182608290896387,-0.002774781246062048,240000,0.6713332902640105,1.46,0.0,4.0,1.3816857516765595,-5.720984072089196
457,180.54,0.003681387311862636,31,0.08240455153456655,0.0005552948843251215,248000,0.581260915659368,1.34,0.0,4.0,1.3801624226570128,-5.286057265400887
