frames,approx_kl_divergence,explained_variance,P09:episode_rewards,policy_loss,PMM:episode_rewards,value_loss,clip_fraction,epoch_idx,policy_entropy,fps,P01:episode_rewards,episode_length,advantage_norm,grad_norm
10240,1649.6233566452702,-1.311143546923995,452.49999999999994,0.04083637255171198,281.25,2876367.8312455276,0.37255859375,1,1.6002413121357677,516,175.0,351.6666666666667,15.96871801018715,6431352.494041067
20480,0.003156434781999451,1.9371509552001954e-08,400.0,-0.001138330168396351,252.27272727272728,0.011494520428823308,0.243359375,2,1.7534436367452144,644,120.00000000000003,353.9818181818182,15.968717616796493,0.05741448692418026
30720,0.0030779124803189005,2.5331974029541015e-08,400.0,-0.0017174987973703538,222.96511627906978,0.007612124021507327,0.223681640625,3,1.777182251214981,689,62.5,352.6744186046512,15.968716663122176,0.051017820125501524
40960,0.00316976695829112,2.2351741790771484e-09,350.0,-0.001101197232856066,175.75,0.007758437521397354,0.23515625,4,1.7773211613297462,654,25.0,341.88,15.968717235326768,0.05329082484946405
51200,0.0036013831670061334,3.3527612686157227e-09,275.0,-0.0011910502806131262,146.75,0.008363496236052015,0.237939453125,5,1.7813277579843998,625,25.0,334.56,15.968717861175538,0.05518021445248866
61440,0.0034162158138542507,-1.6763806343078613e-08,252.50000000000023,-0.001351163706931402,139.5,0.0076932267016559305,0.21787109375,6,1.7775973439216615,610,25.0,327.52,15.968714958429336,0.05473625032347669
71680,0.003336886069405409,-6.7055225372314455e-09,275.0,-0.0016752609764807858,148.25,0.008714239332493889,0.249267578125,7,1.7753429390490054,598,25.0,333.05,15.968717247247696,0.054356785759688844
81920,0.0031163277185441984,2.2351741790771484e-09,450.0,-0.0020262790400011,160.75,0.005811658218567573,0.236767578125,8,1.7747369237244128,594,25.0,332.73,15.968716716766357,0.04918154729428151
92160,0.0035484886736298904,-8.195638656616212e-09,400.0,-0.0018745180990663358,155.5,0.008141447498292109,0.2373291015625,9,1.7778374180197716,589,25.0,332.03,15.968717670440673,0.05213229515077531
102400,0.003884585494017756,-1.4156103134155273e-08,452.50000000000017,-0.0016453893898869866,157.25,0.008395114947097682,0.2603271484375,10,1.7763989314436912,582,25.0,326.7,15.968717181682587,0.05419365875182671
112640,0.0034757134204085106,7.82310962677002e-09,330.0000000000004,-0.001908750292204786,154.75,0.008825502441004574,0.2731201171875,11,1.7837590992450714,572,25.0,328.08,15.968717485666275,0.05390523099948933
122880,0.003290541405158365,-2.2351741790771484e-08,452.50000000000017,-0.0021603003264317523,171.25,0.00939335400169199,0.2574462890625,12,1.7752315282821656,567,25.0,332.09,15.9687169611454,0.05311159768357537
133120,0.0036085547335972024,-1.564621925354004e-08,452.50000000000017,-0.0019112411773676286,179.25,0.008997329284284206,0.2766357421875,13,1.7783552438020707,564,25.0,333.89,15.968717610836029,0.0542592869286711
143360,0.0027296226460180152,-8.940696716308593e-09,477.5000000000002,-0.0015880940703937086,187.25,0.008761988875812676,0.2049560546875,14,1.7720828235149384,562,50.0,339.07,15.9687175989151,0.051608469926101276
153600,0.0024145128284771998,-3.725290298461914e-09,450.0,-0.0014443256983213359,192.25,0.010334908272670872,0.19521484375,15,1.7598250776529312,559,50.0,343.3,15.968717807531357,0.053699528726749005
163840,0.002541499596046037,-1.1175870895385742e-09,502.5000000000002,-0.0014177446628309553,213.0,0.012847371175303124,0.192626953125,16,1.7420500457286834,558,50.0,353.1,15.96871783733368,0.057255562140437276
174080,0.0031634309483706603,-1.4901161193847657e-09,502.5000000000002,-0.0015259202118613757,208.25,0.008511459486408057,0.237451171875,17,1.767574669420719,557,47.50000000000001,347.78,15.96871680021286,0.05315636553431728
184320,0.0025811353771473477,3.7252902984619143e-10,552.5000000000002,-0.001418506368645467,225.5,0.011443590408134696,0.1822265625,18,1.762812513113022,556,25.0,348.27,15.968717688322068,0.053692419076758056
194560,0.002437477193672066,-7.450580596923829e-10,412.5000000000011,-0.001460975271766074,196.5,0.01021755025976745,0.1947509765625,19,1.7713000267744063,556,25.0,334.38,15.968717658519745,0.053724683609246024
204800,0.0031199055950764886,7.450580596923829e-10,525.0,-0.0018598422655486501,210.0,0.010514822952245595,0.227099609375,20,1.7690989702939988,554,25.0,338.2,15.968717497587203,0.05418064401270005
215040,0.0028912794001342947,-1.9744038581848144e-08,450.0,-0.0017099123520893044,207.25,0.010407411944470368,0.2383056640625,21,1.771407487243414,555,25.0,336.75,15.96871775984764,0.0559818003926996
225280,0.0027591632376243068,1.3783574104309083e-08,450.0,-0.0014012690022354945,196.0,0.008928966812345607,0.2069580078125,22,1.7725643053650857,553,25.0,331.65,15.968717795610427,0.053999325203210824
235520,0.0037670991761046936,2.6077032089233397e-09,450.0,-0.0018264678539708257,181.75,0.008150664949448582,0.2506103515625,23,1.7693119399249553,551,25.0,329.18,15.9687175989151,0.054819152174034255
245760,0.0029568722634621737,1.9744038581848144e-08,387.5000000000011,-0.0014349062854307703,165.5,0.007886396770027204,0.241845703125,24,1.7782677501440047,549,25.0,324.79,15.968717628717423,0.054470131227616646
256000,0.002999247527463922,5.960464477539063e-09,277.5000000000002,-0.0021287580544594674,146.5,0.0078012757478063575,0.2181884765625,25,1.7580611012876033,548,25.0,324.01,15.968717581033706,0.05079413077457199
266240,0.002803535125360668,-5.960464477539063e-09,330.0000000000004,-0.0017659221248322865,153.0,0.00772868065705552,0.2075927734375,26,1.7708906650543212,547,25.0,328.84,15.968717497587203,0.05083160313174635
276480,0.0025016513855121046,-1.6391277313232423e-08,277.5000000000002,-0.001085579887512722,144.75,0.009688564631960616,0.20009765625,27,1.7775023631751536,547,25.0,328.62,15.968717634677887,0.05482069779015135
286720,0.0029473971109169384,7.450580596923829e-10,302.5000000000002,-0.0015960442869982217,153.0,0.007700586758289774,0.21884765625,28,1.7788772352039814,547,25.0,329.78,15.968717157840729,0.05262682034663977
296960,0.0027492101181906038,-3.3527612686157227e-09,275.0,-0.0010554446969763375,145.25,0.007244846235039404,0.1890869140625,29,1.7686390340328217,545,25.0,324.66,15.968717044591903,0.05245421913922055
307200,0.0026436107027393517,1.3411045074462891e-08,275.0,-0.0012873379750089954,135.5,0.007014643871571025,0.231787109375,30,1.7813445344567298,544,25.0,327.01,15.968717694282532,0.051816275083863196
317440,0.0033046980539893412,1.862645149230957e-08,275.0,-0.0020936470391461626,139.75,0.010270026652142406,0.24931640625,31,1.7862151019275188,543,25.0,324.66,15.968717741966248,0.054078566803566694
327680,0.0028387167661776402,-7.078051567077636e-09,300.0,-0.0013957585702883079,145.25,0.007871186694660536,0.2169677734375,32,1.7762507766485214,543,0.0,327.11,15.968717271089554,0.05333827253925851
337920,0.003382938219272091,-5.215406417846679e-09,302.5000000000002,-0.001574278509724536,159.25,0.008219127442907847,0.2177001953125,33,1.7803445138037204,543,25.0,334.19,15.968717300891877,0.05169023122223791
348160,0.0031901909435646304,2.1979212760925294e-08,300.0,-0.0017196920734932064,138.25,0.0067828379616116765,0.2528564453125,34,1.7786993205547332,543,22.500000000000007,330.08,15.968707555532456,0.052129438975329435
358400,0.003135647554023535,1.4156103134155273e-08,302.5000000000002,-0.002166780834522797,147.25,0.008889416052261368,0.249365234375,35,1.7735388636589051,542,25.0,336.12,15.96871782541275,0.05362859164412102
