episode_length,policy_loss,advantage_norm,epoch_idx,explained_variance,frames,PMM:episode_rewards,P01:episode_rewards,fps,policy_entropy,grad_norm,P09:episode_rewards,value_loss
176.41463414634146,0.027641749981848988,1.6844820830971003,1,-0.5834886199235916,8000,1.2195121951219512,0.0,538,1.3527017867565154,1.8888613772782068,3.0,0.09634464961241519
187.4320987654321,-0.00046036541200010104,1.4026579516008497,2,-0.01008998155593872,16000,1.4567901234567902,0.0,319,1.3758294415473937,0.2482572653938325,4.0,0.016302802134814557
203.22,0.0012736948620295152,1.3305496041476728,3,-0.030080477595329284,24000,1.83,0.0,360,1.3683377182483674,0.22488415158327058,5.0,0.015418815352932142
199.06,0.0029890530777629465,1.1268376711197197,4,-0.039587924480438234,32000,1.74,0.0,385,1.3701307380199432,0.17086361703696645,5.0,0.012485575169807816
175.76,-0.0006153420824557543,1.0144468386471273,5,-0.02196237087249756,40000,1.17,0.0,402,1.377390912771225,0.151087995292467,4.0,0.0106664724774555
176.54,0.0019471455900929868,1.2545074556395412,6,-0.02613702952861786,48000,1.19,0.0,415,1.3748524725437163,0.17547242534290888,3.0,0.014421292713968796
174.63,-0.0008600257080979645,1.0363325295969843,7,-0.010752232074737548,56000,1.19,0.0,424,1.3687126517295838,0.1363964111034052,3.0,0.010763957332164864
169.23,0.0010762928830081364,1.1437861619144678,8,0.010341700315475464,64000,1.08,0.0,429,1.3754988873004914,0.14366201157997166,2.0,0.012078517652862502
176.99,-0.000279714181961026,1.2531204333901405,9,-0.0018174457550048828,72000,1.26,0.0,435,1.371806366443634,0.18483334006304158,3.0,0.014210216901046806
174.89,0.0006380806618835777,1.0800545685738325,10,0.0006116074323654175,80000,1.22,0.0,439,1.3691526401042937,0.18155914820177427,3.0,0.012251951885573362
175.88,0.0008315257588401437,1.369495155364275,11,0.013109896779060364,88000,1.29,0.0,443,1.3744246447086335,0.19395120887462397,3.0,0.01591943772873492
169.72,0.0028570037003373726,1.031949014738202,12,-0.01927241325378418,96000,1.14,0.0,447,1.3780985867977142,0.18339213186318332,3.0,0.011359667579472443
162.82,0.0001842100815338199,1.0822106032073497,13,0.006031918525695801,104000,0.92,0.0,449,1.3819025039672852,0.18270028482967265,2.0,0.01153099398856284
170.61,0.0014651508443057537,1.258850161731243,14,0.0669426280260086,112000,1.13,0.0,452,1.379092538356781,0.20534627540170114,3.0,0.01375270183540124
173.67,-0.007064387117570732,1.4685663003474474,15,-0.050793996453285216,120000,1.22,0.0,455,1.3556150954961776,0.4497361057298771,3.0,0.02730515142553486
175.81,0.0012411005498142913,1.2476155336201191,16,0.050915913581848146,128000,1.24,0.0,458,1.381537721157074,0.26368641883548816,3.0,0.013120980609746766
178.6,0.0025631227125995793,1.5186965009570121,17,0.28025668919086455,136000,1.3,0.0,461,1.3778270769119263,0.3028954813015708,3.0,0.017056193008902484
185.98,-0.0025777017432119464,1.1931337812542915,18,0.2215076220035553,144000,1.53,0.0,462,1.3783228302001953,0.2788012155113356,4.0,0.011497259758471046
186.87,-0.002000245238014031,1.4963840013742447,19,0.540034961104393,152000,1.54,0.0,463,1.3716302943229675,0.3606385324175735,4.0,0.016109797696699388
191.58,0.00047520639520371333,1.283460496366024,20,0.6610216718912124,160000,1.6,0.0,465,1.3589738428592681,0.30371617519686117,4.0,0.011906305568991228
201.96,-0.00226120237413852,1.4690468966960908,21,0.6910656017065048,168000,1.89,0.0,467,1.3692340016365052,0.3899930157155574,4.0,0.016032790133031084
197.11,-0.0010895952480495907,1.1529360136389732,22,0.7748760086297989,176000,1.78,0.0,468,1.3525633013248444,0.30029822405627066,4.0,0.009911425198079088
191.51,-0.0025767521967645732,1.3493070352077483,23,0.7444808459281922,184000,1.67,0.0,469,1.3556028020381927,0.3591747208822881,4.1000000000000085,0.013096443534595891
196.09,-0.0032065554986184,1.2394672113656997,24,0.792890545129776,192000,1.81,0.0,470,1.3462208223342895,0.32830926234049956,5.0,0.010850962499389424
223.02,-0.003372316356617375,1.3168174070119858,25,0.8072646278142929,200000,2.53,0.0,472,1.3578662860393524,0.3335339571632324,7.1000000000000085,0.013123634336516261
215.49,-0.0025754357589175924,1.1506406033039094,26,0.8410686469078064,208000,2.25,0.0,474,1.3702128326892853,0.30724321042843245,6.1000000000000085,0.009899345151497983
198.55,-0.0001734679756918922,1.0324876859784127,27,0.8916888165473938,216000,1.82,0.0,475,1.3506805765628815,0.2732220590870021,5.1000000000000085,0.007626755124656484
188.78,-0.00177072340156883,1.099050967991352,28,0.8814881390333176,224000,1.6,0.0,477,1.3692534816265107,0.2984045012444184,4.0,0.009061668746289797
188.39,-0.001564281235132512,0.9228318300843239,29,0.9262867927551269,232000,1.63,0.0,478,1.33684525847435,0.23359158624264786,4.0,0.006147137436782941
198.35,-0.0005318407686718274,0.8988036829233169,30,0.9260642170906067,240000,1.98,0.0,480,1.3247858476638794,0.2374458393972452,5.0,0.00624949540477246
209.06,-0.0026118143361236433,0.864556597173214,31,0.9438516855239868,248000,2.32,0.0,482,1.3350157415866852,0.23126230510788548,9.0,0.0058492544328328224
216.41,8.252709172666072e-05,0.8759839805960655,32,0.9342617458105087,256000,2.41,0.0,483,1.3339182913303376,0.24130626340418307,8.100000000000009,0.005659603860694915
206.66,-0.0009285379780340008,0.8870328947901726,33,0.9310466998815536,264000,2.2,0.0,483,1.3533156049251556,0.23935210223820907,9.0,0.006115189373958856
201.89,-0.0013393789564725013,0.9056107366085052,34,0.9256403809785843,272000,2.11,0.0,482,1.3515989780426025,0.23346622912785128,9.0,0.006451080871629529
213.78,-0.0009541401010937988,0.92714092284441,35,0.939870588183403,280000,2.38,0.0,481,1.346083642244339,0.2455058999708987,9.0,0.006306042577489279
215.06,-0.0013462564296787606,0.7807419331371784,36,0.9481707471609115,288000,2.29,0.0,480,1.3309985136985778,0.19718868796554556,5.1000000000000085,0.004570207660435699
213.24,-0.0017313980643666581,0.9455400308966637,37,0.9150824648141861,296000,2.25,0.0,481,1.3554151797294616,0.25616564016327564,6.0,0.00690785009675892
207.91,7.318044838029891e-05,0.7743499574065208,38,0.948917635679245,304000,2.19,0.0,481,1.3504240274429322,0.1864005444307341,8.0,0.004626117820298532
204.09,-0.0008399310868117027,0.7157771588861942,39,0.9500146919488907,312000,2.06,0.0,481,1.351915818452835,0.1805053987251152,6.0,0.0041336064890492704
