fps,value_loss,explained_variance,policy_entropy,policy_loss,P09:episode_rewards,grad_norm,PMM:episode_rewards,epoch_idx,advantage_norm,episode_length,P01:episode_rewards,frames
535,0.03825782618417179,-2.0668694013357163,1.328310453891754,0.002988265180174494,3.0,1.2376090377788158,1.0,1,1.6102211738750338,167.77272727272728,0.0,8000
319,0.018098853245137433,-0.023708717823028566,1.3392664575576783,0.004944730595161673,3.6000000000000085,0.2976657473546683,1.4588235294117646,2,1.4884954030811786,187.48235294117646,0.0,16000
364,0.013860830642897781,-0.04790755271911621,1.370775818824768,0.0015992824631393886,4.0,0.23331754274321356,1.55,3,1.2769700805470348,191.22,0.0,24000
391,0.011344512421110266,-0.14829956948757173,1.379783766269684,0.0016416984162060545,3.0,0.21128954694160754,1.3,4,1.0347714783623814,179.77,0.0,32000
409,0.011561898333075077,-0.009057182669639587,1.3836449527740478,0.0023756373435026034,3.0,0.22335697896480577,1.29,5,1.0779831134527922,179.81,0.0,40000
423,0.018707396540121407,-0.16322075664997102,1.3620031195878983,-0.001532064881757833,3.0,0.4022155157490321,1.29,6,1.3614710199832916,180.22,0.0,48000
431,0.01351836640984402,0.12194379389286042,1.3730073606967925,0.003557566726376535,4.1000000000000085,0.2960295460172183,1.54,7,1.2519529899209738,191.42,0.0,56000
440,0.01795651993190404,0.17579491436481476,1.3680960404872895,-0.0009545622419682332,5.0,0.42848928270354036,1.65,8,1.4929147639870644,191.66,0.0,64000
447,0.014489007695810869,0.4062165480852127,1.3764200401306153,-0.003048178292956436,4.0,0.3732177060243581,1.62,9,1.3316389474272727,189.59,0.0,72000
452,0.015352821029373444,0.6153848963975906,1.3754302763938904,-0.003300890296959551,5.0,0.4231778886114996,1.8,10,1.4088569635152817,197.92,0.0,80000
456,0.009985273745260202,0.53794160425663,1.3834782314300538,-0.0002129900560248643,4.1000000000000085,0.32123114276602677,1.61,11,1.1325704653561115,192.42,0.0,88000
460,0.014421176887117327,0.688430198431015,1.3684793174266816,-0.009063657440128737,4.0,0.44600555271035247,1.34,12,1.3398011058568955,179.99,0.0,96000
463,0.012261031943489797,0.7526121950149536,1.3673131918907167,-0.00379050760930113,3.1000000000000085,0.3935460892093063,1.5,13,1.2736135771870614,184.2,0.0,104000
465,0.011541713884216733,0.727380343079567,1.3719360768795013,-0.002087469327962026,4.0,0.391578901534194,1.52,14,1.25292893409729,186.06,0.0,112000
468,0.009669876027037389,0.8480019122362137,1.3504408419132232,-0.004109231707116123,4.0,0.3371394368878951,1.39,15,1.1663966616988182,181.96,0.0,120000
471,0.00984526312444359,0.8543541419506073,1.350320029258728,-0.0028224149061134083,4.0,0.36164319078211254,1.38,16,1.1417956572771073,180.85,0.0,128000
473,0.006940610602032393,0.919976652264595,1.3399578058719634,-0.0015696670644683762,4.0,0.2588917830403706,1.66,17,0.9743352839350701,192.78,0.0,136000
473,0.006219652423169464,0.9121841472387314,1.3415612554550171,-0.0021462855093705,5.0,0.26397269111615684,1.99,18,0.9153583586215973,203.83,0.0,144000
476,0.007813182964455337,0.934792867898941,1.3337233567237854,-0.000525319768639747,5.1000000000000085,0.27373731316052224,2.2,19,1.0179365411400796,213.68,0.0,152000
478,0.02319904030591715,0.8386612445116043,1.3346864950656891,-0.005043481862230692,5.0,0.5160415905993844,2.33,20,1.2423842108249665,219.55,0.0,160000
480,0.007803035338874906,0.9232388293743133,1.3262295246124267,-0.0006754869034921284,6.0,0.2592455977704833,2.53,21,1.0175302731990814,227.23,0.0,168000
481,0.005666415665473323,0.934394297003746,1.3236773896217346,-0.0006847391834162408,6.0,0.2175625290030787,2.34,22,0.8535284693539142,218.87,0.0,176000
482,0.004350206262606662,0.9628196394443512,1.3310595202445983,-0.0011849961513507878,6.0,0.2055392287020331,2.41,23,0.7446226884424686,222.26,0.0,184000
483,0.00467366833196138,0.9525669193267823,1.340975729227066,-0.0014730300622613868,5.1000000000000085,0.1901626843750861,1.99,24,0.7292448745667934,200.71,0.0,192000
485,0.007409233847865835,0.9341780495643616,1.348273025751114,-0.00034930280919070355,9.0,0.24913359179626202,2.2,25,0.9823988744616509,206.21,0.0,200000
486,0.005294817131361924,0.9350439035892486,1.3422578620910643,-0.002735261583875399,7.200000000000017,0.20728691778017855,2.27,26,0.7801442934572697,209.74,0.0,208000
487,0.004174739934678655,0.9588067406415939,1.3262056124210357,-0.0007139059848850593,7.200000000000017,0.17456142483015658,2.6,27,0.7050502692162991,224.85,0.0,216000
489,0.003516948950709775,0.9625530987977982,1.3485111939907073,-0.0006556407165771816,5.0,0.1662193742837965,1.88,28,0.6305994744598865,200.45,0.0,224000
490,0.0036429108337324577,0.9635443210601806,1.3614569342136382,-8.064156922046096e-05,4.0,0.17751207912633535,1.36,29,0.643264290690422,179.16,0.0,232000
492,0.004630731151264627,0.9521376579999924,1.3584001767635345,-0.00026539254002273083,5.0,0.1864167858705924,1.61,30,0.7637531058490277,190.24,0.0,240000
493,0.006062313673901372,0.9350594353675842,1.3516625273227691,-0.0011137105873785913,5.0,0.19795602024869868,2.14,31,0.8864713042974472,209.44,0.0,248000
