#{"t_start": 1544596941.8158562, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,298,49.926487
4.0,298,77.357517
0.0,127,81.052003
0.0,127,84.575227
0.0,127,88.376627
4.0,299,97.700296
1.0,154,102.04669
0.0,129,105.485272
1.0,171,110.580788
1.0,153,115.090491
0.0,127,118.879732
2.0,201,125.147557
1.0,175,130.184966
1.0,173,135.267234
3.0,270,143.538914
1.0,173,148.671987
1.0,158,153.206574
0.0,125,156.74006
1.0,155,161.236394
0.0,127,165.25364
4.0,302,175.138786
1.0,175,180.456061
4.0,280,189.29781
2.0,198,195.266423
3.0,272,203.576569
1.0,172,208.693863
1.0,173,213.66136
0.0,129,217.311536
8.0,377,229.00671
0.0,129,232.780844
1.0,176,237.834706
2.0,202,244.001543
0.0,129,247.389454
0.0,127,250.83716
0.0,129,254.795371
1.0,155,259.160403
0.0,129,262.50065
4.0,319,272.163801
6.0,379,284.072884
0.0,127,287.952343
0.0,127,291.84151
0.0,127,295.58375
9.0,404,308.329409
0.0,127,311.913829
0.0,127,315.540997
0.0,129,319.169726
0.0,127,322.711638
2.0,198,328.467149
0.0,129,332.327369
3.0,248,340.06995
9.0,404,352.554779
3.0,248,359.76415
0.0,123,363.210544
5.0,332,373.092869
10.0,433,386.246719
0.0,129,389.796241
2.0,224,396.701965
5.0,352,407.492839
5.0,352,418.311237
0.0,129,422.080566
0.0,127,425.768373
0.0,129,429.308144
3.0,252,436.896311
2.0,202,442.714576
2.0,202,448.562496
9.0,404,460.564814
2.0,200,466.495
9.0,404,478.762879
0.0,127,482.500603
2.0,202,488.024081
0.0,129,491.450553
0.0,125,494.566507
0.0,125,497.27208
0.0,129,500.355725
0.0,127,503.534324
0.0,129,506.798481
0.0,127,510.123564
2.0,200,515.627867
8.0,375,526.756002
0.0,127,529.871641
0.0,129,533.215039
3.0,268,541.71998
4.0,291,550.106351
9.0,404,562.086087
0.0,127,565.96748
2.0,200,571.140885
3.0,246,578.26697
0.0,129,581.620489
0.0,129,585.799563
0.0,129,590.105892
5.0,350,601.916811
2.0,202,607.58351
3.0,230,615.375079
5.0,352,627.110418
0.0,129,631.092546
9.0,404,644.945652
0.0,127,648.825793
5.0,350,660.011548
0.0,127,664.087545
0.0,127,668.371625
5.0,372,681.423553
0.0,127,685.543301
1.0,173,691.343276
0.0,129,695.498358
0.0,127,699.759151
0.0,129,703.817641
0.0,129,708.02346
4.0,298,717.980291
3.0,248,726.505849
5.0,329,738.159832
0.0,129,742.171527
2.0,202,748.783272
3.0,248,756.879578
0.0,127,761.003082
2.0,200,767.801475
1.0,175,773.342733
0.0,129,777.150539
6.0,377,790.066778
0.0,129,794.313518
0.0,125,797.819232
1.0,155,802.568347
2.0,202,809.216175
5.0,352,820.961109
0.0,127,825.287446
2.0,207,832.361915
0.0,129,836.541876
4.0,301,847.202647
2.0,206,854.696644
4.0,299,865.340472
9.0,404,879.128942
3.0,248,887.811298
0.0,129,891.953229
1.0,171,898.375777
1.0,159,903.482531
1.0,176,908.99317
10.0,448,925.885601
7.0,248,934.598398
0.0,125,938.695562
2.0,203,945.834407
11.0,475,963.298193
11.0,457,979.664339
0.0,127,983.953809
2.0,202,990.831415
3.0,246,999.101425
0.0,129,1003.581432
4.0,277,1013.786122
1.0,176,1019.828097
4.0,297,1030.981275
0.0,129,1035.257558
0.0,125,1039.524632
4.0,297,1050.076337
0.0,125,1054.32681
0.0,129,1058.91733
2.0,202,1065.880371
3.0,231,1074.618757
0.0,127,1078.166193
2.0,188,1083.436292
1.0,155,1087.873361
0.0,127,1091.746103
1.0,177,1097.032687
0.0,127,1100.776944
4.0,318,1110.684474
4.0,297,1119.685635
1.0,175,1124.973548
3.0,228,1131.561405
1.0,155,1136.087512
0.0,129,1139.950779
8.0,450,1153.827281
1.0,153,1158.198925
2.0,201,1164.279774
5.0,326,1174.037122
1.0,157,1178.478255
0.0,127,1182.178754
10.0,427,1195.171373
0.0,129,1198.793823
0.0,129,1202.571959
3.0,248,1209.864286
1.0,155,1214.463325
1.0,159,1219.020962
5.0,348,1229.533904
8.0,451,1243.44333
5.0,350,1253.940095
2.0,184,1259.419642
2.0,199,1265.511249
1.0,157,1269.798486
2.0,187,1275.283773
9.0,420,1287.349185
11.0,462,1301.388778
5.0,348,1311.52671
2.0,186,1316.747413
3.0,268,1324.691624
3.0,239,1331.688432
5.0,329,1341.379893
2.0,185,1346.631855
2.0,200,1352.446188
1.0,155,1356.934216
3.0,232,1363.935959
1.0,155,1368.451838
1.0,175,1373.130465
7.0,406,1385.410744
10.0,471,1399.813267
1.0,153,1404.276811
9.0,404,1416.280893
1.0,157,1420.595167
3.0,230,1427.449549
5.0,350,1438.057675
2.0,202,1443.961328
3.0,228,1450.594297
9.0,380,1462.157676
1.0,178,1467.763398
1.0,178,1472.626353
0.0,127,1476.117845
0.0,127,1479.830784
2.0,183,1485.093534
4.0,267,1492.914442
0.0,127,1496.414964
1.0,154,1500.619669
0.0,129,1504.046271
3.0,236,1510.976645
2.0,200,1516.898316
5.0,296,1525.788233
0.0,127,1529.297356
6.0,356,1539.997149
9.0,404,1552.360339
0.0,129,1555.929695
0.0,129,1559.538966
6.0,396,1571.660724
2.0,202,1577.744313
5.0,350,1588.144986
10.0,452,1602.050189
0.0,129,1606.220208
0.0,127,1609.774748
3.0,214,1616.003111
11.0,501,1631.938965
6.0,357,1642.945076
2.0,201,1648.851131
1.0,159,1653.442868
1.0,153,1657.831969
1.0,175,1663.185999
2.0,199,1669.7163
11.0,471,1684.081401
2.0,204,1690.164218
11.0,482,1704.924647
2.0,224,1711.661246
3.0,253,1718.976003
11.0,271,1727.198798
3.0,214,1733.634392
4.0,258,1741.246914
10.0,454,1754.777251
7.0,250,1762.025736
1.0,178,1767.071867
1.0,155,1771.558857
3.0,228,1778.296995
12.0,506,1794.150927
6.0,400,1806.324566
6.0,324,1816.288309
2.0,205,1822.231842
9.0,490,1837.622004
9.0,330,1847.746998
10.0,363,1858.70969
10.0,430,1871.702085
6.0,365,1882.691442
6.0,377,1894.268931
8.0,281,1902.879505
13.0,353,1913.748781
5.0,331,1923.720477
7.0,421,1936.56443
7.0,374,1947.751328
1.0,155,1952.141284
5.0,290,1960.705256
7.0,446,1974.021667
7.0,447,1987.186244
2.0,203,1993.193348
4.0,286,2002.048486
12.0,439,2015.182144
11.0,271,2022.90555
4.0,247,2030.422425
6.0,375,2041.451034
5.0,294,2050.187806
10.0,433,2062.905308
11.0,271,2070.807382
11.0,271,2078.973086
13.0,560,2095.915171
7.0,406,2108.365206
5.0,348,2118.951491
10.0,554,2135.327312
17.0,580,2152.822341
5.0,311,2162.21225
7.0,450,2176.139242
11.0,460,2189.94295
8.0,405,2201.950925
12.0,548,2218.594313
13.0,547,2234.819352
10.0,482,2249.671632
4.0,281,2257.978404
11.0,498,2273.892619
7.0,391,2285.403321
7.0,425,2298.593612
8.0,473,2312.949524
7.0,408,2325.236625
17.0,685,2345.513605
9.0,527,2361.488088
9.0,328,2371.357045
11.0,473,2385.229298
6.0,377,2396.4662
13.0,352,2407.218277
7.0,409,2419.668827
10.0,484,2434.422653
10.0,327,2443.818403
9.0,473,2457.772998
7.0,376,2468.924802
9.0,474,2482.950172
15.0,598,2500.89752
6.0,344,2511.568626
7.0,370,2522.508841
7.0,417,2535.06284
14.0,643,2554.921291
17.0,581,2572.821667
5.0,335,2583.080798
31.0,784,2606.445446
12.0,583,2623.976641
6.0,360,2634.644572
12.0,496,2649.645592
18.0,722,2671.406726
12.0,435,2684.613512
14.0,586,2702.620932
12.0,510,2718.021297
24.0,743,2739.951399
14.0,539,2756.000976
2.0,206,2762.190557
18.0,716,2783.872124
11.0,381,2795.150211
16.0,560,2812.155699
21.0,669,2832.20285
12.0,448,2845.577465
14.0,400,2857.749701
17.0,458,2872.330788
18.0,608,2890.310359
20.0,746,2912.734508
14.0,519,2928.085971
9.0,486,2942.871828
11.0,556,2959.501427
17.0,674,2980.193155
13.0,644,2999.616821
5.0,291,3007.728162
11.0,524,3023.249575
16.0,676,3043.499612
20.0,668,3063.747496
12.0,558,3080.755467
9.0,482,3095.272358
20.0,725,3116.896314
17.0,615,3136.346822
17.0,739,3158.712438
30.0,758,3181.945746
15.0,573,3199.609403
15.0,557,3216.790468
6.0,338,3226.790487
20.0,605,3245.272753
12.0,558,3262.237124
14.0,656,3281.513195
9.0,543,3297.761523
17.0,611,3315.926665
17.0,754,3338.839722
20.0,771,3361.546338
22.0,631,3380.660793
16.0,555,3397.407769
18.0,672,3417.004873
20.0,588,3434.609056
13.0,535,3450.631879
18.0,762,3473.826514
12.0,566,3490.628093
19.0,554,3507.177299
12.0,561,3524.500138
10.0,479,3539.228463
30.0,718,3560.872143
18.0,749,3583.949115
28.0,786,3607.611475
28.0,866,3634.520692
27.0,596,3652.342754
20.0,633,3671.251856
34.0,876,3697.675469
15.0,656,3717.644645
15.0,536,3733.82002
27.0,902,3761.573643
32.0,893,3788.782481
29.0,685,3809.057233
22.0,639,3828.495985
28.0,908,3855.750889
19.0,601,3874.24726
19.0,781,3897.091403
10.0,523,3912.715684
23.0,708,3934.056884
49.0,1073,3967.310265
45.0,1064,3999.911409
29.0,775,4023.227047
32.0,1041,4054.111818
25.0,548,4071.068639
32.0,860,4096.998854
17.0,612,4115.347062
8.0,424,4128.054026
52.0,1283,4166.591803
18.0,513,4181.750731
12.0,512,4196.795421
40.0,1240,4234.887153
31.0,969,4264.170049
31.0,756,4286.546429
29.0,683,4306.802474
22.0,665,4326.529716
40.0,1067,4359.463842
30.0,710,4380.996987
32.0,742,4403.350105
26.0,794,4427.360854
52.0,1138,4461.695184
34.0,993,4491.590293
32.0,942,4520.174702
28.0,803,4543.84737
39.0,1022,4574.536955
37.0,839,4599.79294
40.0,1235,4636.576666
34.0,700,4657.777486
33.0,925,4686.021331
34.0,992,4715.864903
40.0,1125,4750.048398
16.0,547,4766.590768
40.0,984,4796.085835
27.0,921,4823.467053
51.0,1020,4853.845803
28.0,795,4877.482018
26.0,632,4896.073938
16.0,553,4912.851969
0.0,129,4916.505466
31.0,695,4937.253327
29.0,870,4963.609197
37.0,876,4989.113355
60.0,1494,5033.898096
15.0,691,5054.437401
35.0,967,5083.400153
27.0,717,5104.540411
36.0,862,5130.289553
24.0,737,5152.4286
21.0,727,5174.309414
29.0,916,5201.738521
24.0,563,5218.53386
35.0,935,5246.910477
28.0,780,5270.208324
84.0,1561,5317.211903
81.0,1474,5360.560317
64.0,1343,5400.692484
46.0,969,5429.822235
32.0,887,5456.490659
53.0,1368,5497.910351
32.0,1064,5529.789873
21.0,624,5548.247228
28.0,667,5567.699424
39.0,1046,5599.364336
38.0,848,5625.371966
43.0,1211,5661.96691
59.0,1139,5695.947201
72.0,1192,5732.020103
58.0,1201,5768.056288
66.0,1379,5810.145574
101.0,1776,5864.149078
50.0,1262,5902.084463
42.0,1014,5932.283731
48.0,1030,5962.821479
19.0,585,5979.710222
51.0,1202,6014.9888
37.0,945,6042.983603
65.0,1152,6077.62835
42.0,891,6104.267995
31.0,918,6131.912776
62.0,1192,6167.587079
24.0,807,6191.822082
92.0,1563,6239.69218
47.0,868,6264.841956
45.0,957,6293.474012
58.0,1021,6323.747769
53.0,1241,6360.613663
40.0,1104,6393.530508
65.0,1103,6425.477886
72.0,1607,6474.656609
37.0,596,6492.26199
45.0,800,6515.681401
44.0,993,6545.427424
38.0,1031,6575.972552
77.0,1468,6619.372593
324.0,1969,6679.402579
58.0,1182,6714.180045
56.0,1104,6747.259312
56.0,1218,6783.358839
38.0,1014,6813.986343
77.0,1273,6852.280728
66.0,1077,6883.972351
98.0,1714,6934.146863
42.0,1103,6967.277014
60.0,1285,7005.84102
82.0,1351,7046.122577
34.0,907,7074.093178
17.0,551,7089.779926
23.0,809,7113.620976
37.0,1006,7143.381485
42.0,879,7169.806931
9.0,404,7182.405673
5.0,350,7192.928025
5.0,350,7203.457313
36.0,1011,7233.667547
113.0,1413,7275.129915
73.0,1612,7322.85958
203.0,1230,7358.957486
41.0,1215,7395.070026
43.0,974,7424.178637
66.0,1259,7461.953213
61.0,1092,7494.355048
100.0,1571,7541.166655
70.0,1241,7578.177043
58.0,1232,7614.783954
30.0,646,7634.012452
56.0,1024,7664.525229
64.0,1088,7698.211885
47.0,1205,7734.309003
149.0,1563,7781.30318
61.0,889,7806.938954
66.0,1361,7846.959311
127.0,1738,7898.564674
97.0,1368,7939.40248
57.0,1394,7981.094857
78.0,1099,8013.37465
299.0,1790,8067.578562
51.0,1032,8097.990383
53.0,1088,8129.697313
103.0,1286,8168.845034
52.0,1170,8204.272885
103.0,1359,8244.243135
69.0,1191,8279.772189
96.0,1376,8321.209725
76.0,1219,8357.042983
148.0,1340,8396.817606
78.0,1336,8436.921113
67.0,1154,8471.484232
134.0,1699,8521.761635
84.0,1180,8556.065444
60.0,907,8582.715083
96.0,1485,8626.986859
75.0,860,8652.184957
128.0,1689,8702.938751
206.0,1822,8757.731464
117.0,1473,8801.478349
70.0,1181,8836.718062
73.0,1132,8870.196659
275.0,1919,8928.098168
11.0,502,8943.154665
1.0,153,8947.832972
0.0,125,8951.602003
0.0,125,8955.481471
20.0,808,8979.316452
69.0,1309,9018.269659
50.0,929,9046.069123
85.0,1453,9089.630107
243.0,1769,9142.421411
151.0,1768,9195.774367
221.0,802,9218.91224
145.0,1612,9266.892696
186.0,1073,9298.309422
44.0,562,9314.825681
176.0,1742,9366.611145
40.0,961,9395.148788
57.0,782,9418.680469
83.0,1361,9458.802151
76.0,1271,9498.024886
82.0,1369,9539.136024
59.0,1377,9579.907927
136.0,1502,9624.653167
73.0,1172,9658.787901
65.0,1037,9689.446638
156.0,1685,9739.741487
162.0,1634,9788.030344
129.0,1480,9832.016614
150.0,1617,9879.376235
91.0,1489,9924.434218
80.0,1296,9963.489785
32.0,856,9989.163494
20.0,746,10011.321728
293.0,1912,10068.854932
61.0,1256,10106.151153
63.0,1272,10143.632257
149.0,1183,10178.480582
166.0,1510,10223.306917
125.0,1643,10272.341887
135.0,1454,10315.397307
112.0,1289,10353.513269
109.0,1342,10393.284332
92.0,1255,10429.630479
0.0,129,10433.118214
160.0,1582,10479.797587
187.0,1421,10521.028094
4.0,289,10529.417082
0.0,129,10533.187251
134.0,1421,10575.466482
236.0,1395,10616.925923
76.0,1083,10648.734075
126.0,1823,10702.821558
147.0,1877,10758.652582
87.0,1243,10795.955534
73.0,1060,10827.461151
0.0,129,10831.078824
27.0,931,10858.740504
168.0,1551,10903.924165
100.0,1412,10945.519352
56.0,1401,10988.147315
49.0,930,11015.620105
51.0,1022,11045.95964
97.0,1587,11093.909955
113.0,1405,11135.835915
87.0,966,11165.104712
259.0,1974,11223.338849
89.0,1242,11259.956653
27.0,743,11282.434017
118.0,1408,11323.848019
108.0,1565,11370.470946
241.0,1700,11420.880382
210.0,1771,11473.236065
51.0,994,11502.081819
62.0,1135,11535.336322
254.0,1601,11582.567736
242.0,1133,11615.714813
89.0,1416,11657.447313
39.0,1065,11688.910894
255.0,1591,11736.043633
26.0,764,11758.783236
77.0,1093,11791.522925
51.0,919,11818.347062
242.0,1234,11854.662036
194.0,1865,11910.427839
39.0,1065,11942.148742
197.0,1839,11997.2143
283.0,2075,12059.305428
39.0,813,12083.547193
334.0,1573,12129.98428
336.0,1898,12186.028763
301.0,2209,12250.318202
280.0,1511,12294.717825
132.0,1320,12333.698356
146.0,1827,12387.388535
352.0,1721,12438.025847
69.0,1298,12477.494292
223.0,1078,12510.062565
287.0,2153,12574.310557
75.0,1253,12611.104134
222.0,1064,12642.664278
213.0,1573,12689.030021
263.0,1613,12736.77811
387.0,1840,12791.240749
133.0,1615,12838.091336
11.0,271,12846.363537
0.0,127,12850.043376
0.0,129,12853.778738
263.0,1944,12911.647595
74.0,1210,12948.118884
275.0,2136,13011.438145
237.0,1751,13062.503259
115.0,1124,13095.952683
175.0,1693,13145.162885
382.0,1994,13204.354274
221.0,1543,13249.183749
204.0,1777,13301.588312
3.0,249,13309.088694
44.0,1066,13340.038776
61.0,1102,13372.832775
147.0,1669,13421.877119
252.0,1777,13473.577476
349.0,1817,13524.248028
296.0,1168,13555.289949
322.0,2027,13607.690425
327.0,1857,13654.378883
140.0,1339,13684.736753
329.0,1581,13715.798098
315.0,1562,13745.80848
269.0,1616,13775.850245
347.0,1374,13801.068405
295.0,1934,13837.407027
209.0,1756,13869.135897
317.0,2095,13908.05327
396.0,1876,13942.280074
119.0,1267,13963.376593
177.0,1776,13987.330588
353.0,1802,14011.299013
240.0,1573,14031.459769
407.0,3147,14073.548712
353.0,1990,14099.805634
337.0,2194,14128.448892
379.0,2142,14156.631837
347.0,1618,14177.540488
328.0,2215,14205.680772
323.0,2149,14233.298691
214.0,1758,14256.184355
285.0,1754,14275.807285
298.0,1868,14300.118144
412.0,2150,14328.037888
24.0,705,14337.635713
208.0,1722,14360.146811
372.0,1797,14383.915288
89.0,1214,14399.006617
213.0,1835,14421.790429
36.0,1050,14434.946454
223.0,2051,14460.800505
238.0,1870,14483.410216
416.0,2539,14514.467793
216.0,1087,14527.631695
331.0,1898,14550.575748
128.0,1756,14571.506344
303.0,1623,14591.921765
379.0,2168,14618.753657
341.0,1288,14634.080743
306.0,2360,14661.834085
354.0,2190,14687.132997
367.0,2125,14711.40905
213.0,1669,14730.626834
329.0,1787,14751.13858
320.0,1744,14771.657553
365.0,1942,14794.220178
175.0,1678,14812.786646
324.0,2072,14836.621454
105.0,1514,14854.160963
191.0,1615,14870.777658
122.0,1431,14886.952224
383.0,1975,14909.83044
362.0,2034,14933.150757
369.0,2038,14956.58915
312.0,2003,14980.079068
182.0,1530,14997.783526
406.0,1870,15019.686892
413.0,2051,15043.283202
262.0,1567,15061.539037
67.0,1391,15077.939509
378.0,2114,15102.454859
397.0,2533,15131.819597
400.0,2120,15157.415131
175.0,1701,15176.965336
57.0,1022,15188.840263
354.0,1887,15211.011887
342.0,1814,15232.758205
316.0,1755,15253.27082
384.0,1898,15275.59396
384.0,2382,15304.159162
320.0,1940,15327.497861
224.0,1656,15347.639021
667.0,3508,15390.617775
381.0,1898,15413.594349
379.0,1897,15436.569774
338.0,2132,15462.202643
414.0,1607,15479.953554
336.0,1888,15503.098473
283.0,2060,15528.144179
152.0,1430,15545.135633
386.0,2254,15572.381716
359.0,1833,15594.374173
413.0,2739,15627.586134
337.0,2195,15654.049969
330.0,2050,15679.377828
324.0,1818,15701.214576
382.0,2068,15726.590412
375.0,2535,15757.60089
261.0,1809,15778.661449
350.0,1940,15802.398293
355.0,2221,15829.462526
330.0,1931,15852.841048
345.0,2070,15877.818634
381.0,1845,15900.160852
419.0,2471,15930.143362
285.0,1727,15950.253885
428.0,2696,15982.039701
411.0,2428,16011.339292
288.0,1630,16030.343402
326.0,2012,16054.384612
366.0,1851,16074.142877
407.0,2444,16104.533366
0.0,127,16106.154762
0.0,127,16107.875136
5.0,352,16112.760344
8.0,356,16117.275192
44.0,1067,16130.083067
365.0,2041,16155.327289
396.0,2196,16181.779105
291.0,1372,16198.524836
331.0,2104,16224.132798
37.0,1092,16237.204291
360.0,2377,16265.973238
251.0,1959,16289.569873
234.0,1658,16309.19142
380.0,2137,16335.357889
72.0,1279,16350.562647
395.0,2331,16378.133524
397.0,2303,16406.641179
410.0,2047,16431.090885
326.0,2087,16455.782467
98.0,1654,16474.986434
389.0,2317,16502.053663
426.0,2471,16531.199077
379.0,2127,16554.813692
331.0,1956,16576.303123
337.0,2181,16600.943775
424.0,2370,16626.896978
268.0,1904,16648.468759
86.0,1470,16664.773452
370.0,1926,16685.504417
