episode_length,policy_entropy,grad_norm,explained_variance,P01:episode_rewards,policy_loss,frames,fps,PMM:episode_rewards,epoch_idx,advantage_norm,value_loss,P09:episode_rewards
160.9268292682927,1.3480886173248292,1.1847950843286084,-0.41767794072628023,0.0,-0.024452113466104493,8000,531,0.8780487804878049,1,1.6231253946572541,0.04598090027098806,2.0
180.8426966292135,1.368569527864456,0.241403656054955,-0.11928609013557434,0.0,0.0013169937359634788,16000,319,1.3595505617977528,2,1.2444536783918738,0.014840928130397515,3.200000000000003
191.8,1.361415652036667,0.2838092666774972,-0.011383046507835387,0.0,0.0003830849306541495,24000,363,1.68,3,1.4048495455086232,0.017007542676947197,4.1000000000000085
185.55,1.3517113935947418,0.21282440296845548,0.013185045123100281,0.0,0.002426014431694057,32000,388,1.5,4,1.1619599037617445,0.012717556471106945,5.0
182.03,1.3522611808776857,0.34457897767068607,-0.14766068279743194,0.0,-0.0022190920078719503,40000,405,1.39,5,1.4696029870212077,0.018820325151718862,4.0
181.63,1.3633648085594177,0.2940731877706315,0.03850440084934235,0.0,-0.0006684598300125799,48000,417,1.38,6,1.2460816173255445,0.015250985167949694,4.0
180.28,1.3645805835723877,0.3076999571164693,-0.0012178659439086915,0.0,-0.0002682184994773706,56000,425,1.32,7,1.2752611760050059,0.014738855849573155,4.0
179.27,1.3779049694538117,0.2663069162448162,0.11438191115856171,0.0,-0.0012415316776605322,64000,434,1.33,8,1.139990880638361,0.011811222564792842,4.0
179.93,1.3560973727703094,0.37978889113926667,0.2904042047262192,0.0,-0.0006035995265119709,72000,441,1.35,9,1.3146940606832505,0.017287156277452597,3.1000000000000085
176.45,1.3718297243118287,0.3396943838777925,0.23489500105381012,0.0,-0.0003471338772214949,80000,446,1.28,10,1.2237764102220536,0.012313891827652697,3.0
175.44,1.3755145919322969,0.412568984803969,0.3513263416290283,0.0,-0.006926574178214651,88000,452,1.28,11,1.2325847440958022,0.012354644556180574,3.0
