frames,policy_loss,episode_length,explained_variance,epoch_idx,advantage_norm,policy_entropy,grad_norm,PMM:episode_rewards,fps,value_loss,P01:episode_rewards,P09:episode_rewards
8000,-0.010782171305036172,161.9268292682927,-0.8849106359481812,1,1.4736752737686039,1.3608950144052505,1.0994659368257842,0.8780487804878049,564,0.03167239802182849,0.0,2.0
16000,0.0017777307459618896,169.72826086956522,-0.058725281953811645,2,1.1037072418630123,1.382304447889328,0.21919608664923146,1.065217391304348,365,0.012570454445708493,0.0,2.0
24000,0.0011302358681859915,183.32,-0.009616512060165405,3,1.2785665283724665,1.3849584698677062,0.23116362748258776,1.39,436,0.015053779446297995,0.0,4.0
32000,0.0030125874224177095,186.27,-0.028582102060317992,4,1.1465741303190589,1.3836019706726075,0.22621058422424575,1.46,487,0.012845411910329858,0.0,4.0
40000,-0.0005605266909697093,171.94,-0.08907262861728668,5,0.9882153769955039,1.3787544023990632,0.1803489669401347,1.11,521,0.009877424923142825,0.0,3.1000000000000085
48000,0.002800105162896216,168.73,-0.03586680114269256,6,0.9845795752853155,1.37671248793602,0.2004834304747651,1.01,549,0.010437696090702957,0.0,3.0
56000,0.00023685498419126816,180.49,-0.020422585010528564,7,1.2617989666759968,1.3823545777797699,0.26085143501097696,1.31,570,0.01365998082284932,0.0,3.0
64000,0.00028807378432247786,179.47,0.13766312301158906,8,1.0909692610800266,1.3813559305667877,0.23214021285483014,1.28,588,0.01058604022837244,0.0,4.0
72000,0.0009956212842371316,185.27,0.17336044192314148,9,1.4005267134308814,1.363251166343689,0.3712905505680015,1.49,603,0.016818063985265325,0.0,4.0
80000,-0.0014241830746323104,187.08,0.5102273499965668,10,1.2093273159861564,1.3794812953472138,0.31915591459767056,1.56,613,0.01124906025477685,0.0,4.0
88000,0.0004764020806760527,187.54,0.6817202633619308,11,1.5336652848124503,1.374880303144455,0.4288770666178808,1.6,624,0.01791080404946115,0.0,4.0
96000,-0.0031723945355042814,208.8,0.31568210184574125,12,1.5141474881768227,1.3586543476581574,0.43015610523947984,2.14,634,0.0161533393105492,0.0,6.0
104000,-0.006946695392543916,212.64,0.7888534808158875,13,1.369152663052082,1.3453654837608338,0.5475184985166508,2.21,644,0.018442974119680003,0.0,6.0
112000,0.0008478901980561205,201.34,0.8498848938941955,14,1.263746978342533,1.3596764934062957,0.40732241970890376,1.97,652,0.011624189307913185,0.0,5.1000000000000085
120000,-0.0010523689838009887,199.41,0.8980254197120666,15,1.1143521070480347,1.3556326186656953,0.32501317628976006,1.94,659,0.0091440509975655,0.0,5.0
128000,-0.002792193675704766,210.18,0.9237809330224991,16,0.9798358470201493,1.3520991945266723,0.3043109020623565,2.21,666,0.007047302905702963,0.0,6.0
