epoch_idx,episode_length,grad_norm,avg_q_selected,fps,P01:episode_rewards,policy_entropy,P09:episode_rewards,avg_q_retraced,policy_gradient_loss,rollout_prob_std,explained_variance,model_prob_std,q_loss,policy_loss,advantage_norm,frames,PMM:episode_rewards,policy_gradient_bias_correction
1,0,0.11315840815185034,-0.016131211607716977,473,0.0,2.0191938241322833,0.0,-0.017286885413098693,0.00023713650116405916,0.060092851209143795,-43.25982877413432,0.06009285108496745,0.0025646691533135406,0.00023713650116405916,0.09767893105745315,7200,0.0,2.262409472727119e-12
2,0,0.07729383845879668,-0.015068457275629044,642,0.0,1.6851634677189091,0.0,-0.016066531899074712,0.00020267137664025842,0.09886045598735411,-44.502152329683305,0.0988604549318552,0.0010555629283468685,0.00020267137664025842,0.07932328190654517,14400,0.0,-6.009403469272566e-13
3,0,0.0031931698690704285,-0.013747237374385197,673,0.0,2.1914387543996177,0.0,-0.013526545899609724,0.00031741059550161786,0.01088182833045721,-17.56065430641174,0.010881828175236781,2.2560899409048338e-05,0.00031741059550161786,0.02493789934863647,21600,0.0,0.0
4,0,0.006130234949923595,-0.014202683574209611,687,0.0,2.1890122731526693,0.0,-0.014033954590559006,0.0003317904668316866,0.013894943970565994,-17.586813020706177,0.013894943986088037,6.554062235106054e-05,0.0003317904668316866,0.0545412207643191,28800,0.0,0.0
5,0,0.0028054271357004458,-0.010704147660483916,735,0.0,2.193369221687317,0.0,-0.010598503798246384,0.0002029466639214661,0.008965907447660963,-12.961562299728394,0.008965907370050747,2.1631101473455296e-05,0.0002029466639214661,0.027407401148229836,36000,0.0,0.0
6,3324.8333333333335,0.004218263614954024,-0.01041116837101678,715,0.0,2.1905372460683186,0.0,-0.010177770210430027,0.0002788184547777443,0.011881072726100683,-9.330940246582031,0.011881072679534555,4.121249789174423e-05,0.0002788184547777443,0.043374010392775136,43200,0.0,0.0
7,3324.8333333333335,0.0017427588937130349,-0.007980688738947113,695,0.0,2.1933049599329633,0.0,-0.007938515193139513,0.00012585290205606724,0.008526482572779059,-8.350009202957153,0.008526482495168845,5.750029288265068e-06,0.00012585290205606724,0.015141966256002585,50400,0.0,0.0
8,3324.8333333333335,0.0020544061711524828,-0.013273361511528492,681,0.0,2.1864113648732504,0.0,-0.01315016335186859,0.00032704253899282774,0.015639926275859275,-8.122587553660075,0.01563992618272702,5.231154371661736e-06,0.00032704253899282774,0.016995558918764194,57600,0.0,0.0
9,3324.8333333333335,0.002924280128554527,-0.008775310373554628,667,0.0,2.1912388801574707,0.0,-0.008715747591728966,0.00016243126410699915,0.011445719950521986,-7.831634219487508,0.011445719966044028,2.4307383834335877e-05,0.00016243126410699915,0.03280011502405008,64800,0.0,0.0
10,3324.8333333333335,0.002251743276210282,-0.0066606513534983,618,0.0,2.1928321679433185,0.0,-0.006568539530659715,0.00016887276021103996,0.009928802493959665,-12.320341205596923,0.009928802525003751,1.6734214682401216e-05,0.00016887276021103996,0.024837625787282984,72000,0.0,0.0
11,3324.8333333333335,0.0035051289625052367,-0.008109888954398533,565,0.0,2.1906807899475096,0.0,-0.008151099233267208,0.00014956757695472334,0.01252988021199902,-7.8828165292739865,0.012529880227521061,3.025386847260355e-05,0.00014956757695472334,0.04199463234593471,79200,0.0,0.0
12,3324.2083333333335,0.001092073081667825,-0.0039471952089418965,555,0.0,2.194968914985657,0.0,-0.003923291806131601,0.00013382026360583648,0.0072617808822542426,-12.326579809188843,0.007261780913298329,5.070308621194878e-06,0.00013382026360583648,0.012922563341756661,86400,0.0,0.0
13,3324.2083333333335,0.001250823183864553,-0.009070767462253571,553,0.0,2.187927015622457,0.0,-0.00899440674111247,0.00016924115334404632,0.014354108273983002,-7.23626168568929,0.014354107979064187,3.2018999566692704e-06,0.00016924115334404632,0.01266312664374709,93600,0.0,0.0
14,3324.2083333333335,0.0009447779878611213,-0.0049651719629764555,551,0.0,2.1928284486134846,0.0,-0.004902389963778357,0.00012927612151543145,0.009624485640476148,-9.024629545211791,0.00962448539212346,2.7394998369345556e-06,0.00012927612151543145,0.012110222845027845,100800,0.0,0.0
15,3324.2083333333335,0.003026370465505456,-0.00685683727885286,549,0.0,2.191417368253072,0.0,-0.006871979054994881,0.00014282819104967834,0.011971868621185423,-7.555216431617737,0.011971868605663379,2.263271104538944e-05,0.00014282819104967834,0.03809709451161325,108000,0.0,0.0
16,3324.2083333333335,0.0009445243956392488,-0.0036087837846328816,547,0.0,2.194300897916158,0.0,-0.0035842387238517403,6.693596623676967e-05,0.008302876477440197,-8.556137069066365,0.008302876353263855,5.663895014625571e-06,6.693596623676967e-05,0.014163782509664694,115200,0.0,0.0
17,3324.25,0.0025252040541920615,-0.005867213699578617,538,0.0,2.191456370088789,0.0,-0.0058258722269157355,0.00014374103833587367,0.018530694079947556,-6.18435851810707,0.011868696347551628,1.807579746541579e-05,0.0001446495319841132,0.034721524246269835,122400,0.0,9.084933411765111e-07
18,3324.25,0.0010962511530654153,-0.0038899642820270134,517,0.0,2.1935731928628934,0.0,-0.003869187238811892,7.214204554755802e-05,0.023369598483359698,-3.582117860503011,0.00931485025556207,4.444189526545396e-06,6.825923460169973e-05,0.01626187686077494,129600,0.0,-3.882811010719675e-06
19,3324.25,0.0010359165554876325,-0.003809305692534147,500,0.0,2.192250380099766,0.0,-0.003779842604907037,9.035797993301043e-05,0.021326227590759538,-1.457351926132327,0.010860489758843968,3.601870177070461e-06,8.859659111909958e-05,0.016022629349340966,136800,0.0,-1.761388695634251e-06
20,3324.25,0.0008639535798735564,-0.0016783901664534848,484,0.0,2.193450785850091,0.0,-0.001661465596729031,3.4959501269931645e-05,0.0212473363135929,-1.9884348091806368,0.009609904871106632,3.3846121216486633e-06,3.3901402285592634e-05,0.015260683168939231,144000,0.0,-1.0580988441677254e-06
21,3324.25,0.0006959920025274573,-0.0013165702451921777,473,0.0,2.1935082247238307,0.0,-0.001300716882710803,2.6843298514002464e-05,0.021660323046528485,-2.577919655993344,0.009520161114374382,2.6250138578004254e-06,2.467839310852812e-05,0.013242639655151243,151200,0.0,-2.1649054563103013e-06
22,3324.25,0.0006886381599758472,-0.0012149433864127519,466,0.0,2.1931961661261856,0.0,-0.0012131812670449825,2.533281374517331e-05,0.022257467119624372,-1.8420780699711945,0.00991762203816078,2.776174682983383e-06,2.3754084346514954e-05,0.013946667948593608,158400,0.0,-1.578729499877987e-06
23,3324.1666666666665,0.0004927947736050546,-0.0007834088552958269,458,0.0,2.193654286887223,0.0,-0.0007665453524200393,1.7984953270903037e-05,0.02154829805904682,-3.8509312627289285,0.009273717169474182,1.660075196884092e-06,1.7268814332968727e-05,0.010072270704685598,165600,0.0,-7.161389480912846e-07
24,3324.1666666666665,0.0004597275602079856,-0.0014446747372484322,451,0.0,2.192547425246113,0.0,-0.001431043939936894,2.6128049040024474e-05,0.021770359091565418,-3.0496667409849865,0.010442679835078133,1.2410666213059057e-06,2.403481192877421e-05,0.009467971598803098,172800,0.0,-2.0932369848477144e-06
25,3324.1666666666665,0.00042233952164602085,-0.0008925299936234577,446,0.0,2.192823690977046,0.0,-0.0008718050608989095,2.351349339084847e-05,0.024969045929536814,-2.143974801265689,0.010225139082613938,1.0695002186140407e-06,2.1556425943953385e-05,0.00877345366612423,180000,0.0,-1.9570673447701757e-06
